DTronc,LTronc,DChar,LChar,DChar1,LChar1,DChar2,LChar2,DChar3,LChar3,DChar4,LChar4,DChar5,LChar5,NumRam,DRam,LRam,PFr1,DFr1,PFr2,DFr2,PFr3,DFr3,PFr4,DFr4,PFr5,DFr5,PFr6,DFr6,year
65.5,43,37.5,42,90,14,35,3.5,,,,,,,R72,14,77,160,66,199,68,171,67,190,68.5,,,,,2019
65.5,43,37.5,42,90,14,,13,,,,,,,R73,13,82.5,277,70,161,66,201,73,199,72,187,71,,,2019
65.5,43,37.5,42,90,14,,13,23,20,,,,,R74,8,36.5,183,64,161,66,,,,,,,,,2019
65.5,43,37.5,42,90,14,,,,9,,,,,R75,10,37,192,68.5,229,67,,,,,,,,,2019
65.5,43,37.5,42,90,14,,,,4,,,,,R76,11,45,231,73.5,250,72.5,209,67.5,,,,,,,2019
65.5,43,37.5,42,90,14,,,,5,,,,,R77,12,34,143,63.5,135,65,,,,,,,,,2019
65.5,43,37.5,42,90,14,,,31,7,,,,,R78,6,45,131,65,180,68,137,65.5,,,,,,,2019
65.5,43,37.5,42,90,14,,,,9,,,,,R79,5,24,171,66,,,,,,,,,,,2019
65.5,43,37.5,42,90,14,,,,12,,,,,R80,9,54,228,72.5,206,71,219,64.5,,,,,,,2019
65.5,43,37.5,42,90,14,,,,10,,,,,R81,15,53,197,63,150,58.5,165,65,141,59,,,,,2019
65.5,43,37.5,42,90,14,,,,5,,,,,R82,13,76,276,71.5,221,64.5,169,57,,,,,,,2019
65.5,43,37.5,167,49,21,10,10.5,,,,,,,R83,6,35,190,68,230,67,,,,,,,,,2019
65.5,43,37.5,167,49,7.5,,,,,,,,,R84,8,61,191,67,198,68,209,73,,,,,,,2019
65.5,43,37.5,167,49,7.5,,,,,,,,,R85,8,64.5,180,64,190,68,170,67,,,,,,,2019
65.5,43,37.5,167,49,13,,,,,,,,,R86,6.5,42,207,72,253,71,209,70,,,,,,,2019
65.5,43,37.5,167,49,33,9,7.5,,,,,,,R87,7,30,180,70,150,71,,,,,,,,,2019
65.5,43,37.5,167,49,19,13,13,,,,,,,R88,7,29,154,63,186,70,,,,,,,,,2019
65.5,43,37.5,167,49,19,,13,,,,,,,R89,7,32,169,66.5,181,68,,,,,,,,,2019
65.5,43,37.5,167,56,59,49,5.5,25,18,15,10.5,,,R90,11,88,203,67,196,75,202,74,173,73,,,,,2019
65.5,43,37.5,167,56,59,,,,,,1.5,,,R91,7,32,134,65,198,68,,,,,,,,,2019
65.5,43,37.5,167,56,59,,,,30,15,10,,,R92,8.5,56,192,64,161,66,202,73,,,,,,,2019
65.5,43,37.5,167,56,59,,,,,,3.5,,,R93,5,2,206,65,,,,,,,,,,,2019
65.5,43,37.5,167,56,59,,,,,,4,,,R94,8,37,254,72,174,68,,,,,,,,,2019
65.5,43,37.5,167,56,59,,0,39,9,,,,,R95,11,63,138,61,202,71,171,67,,,,,,,2019
65.5,43,37.5,167,56,59,,,,9.5,,,,,R96,9,58,163,68,197,69,137,67.5,,,,,,,2019
65.5,43,37.5,167,56,59,,,,11,,,,,R97,13.5,72,185,69,181,68,209,73,190,71,,,,,2019
