,DTronc,LTronc,DChar,LChar,DChar1,LChar1,DChar2,LChar2,DChar4,LChar4,Sum
233,59.0,55.0,34.0,3.0,,,,5.5,,,0.4741802479877596
234,59.0,55.0,34.0,3.0,,,,10.0,,,0.5145555235419543
235,59.0,55.0,34.0,3.0,,,,5.5,,,0.49911490939693937
236,59.0,55.0,34.0,3.0,,,,5.5,,,0.6021433089540645
237,59.0,55.0,34.0,19.0,10.0,4.5,,,,,0.5206174539137135
238,59.0,55.0,34.0,19.0,,2.5,,,,,0.5304730939647911
239,59.0,55.0,34.0,60.0,81.0,5.0,55.0,7.5,,,0.6364639947716955
240,59.0,55.0,34.0,60.0,,,,32.0,23.0,4.5,0.524411074643806
241,59.0,55.0,34.0,60.0,,,,,,13.5,0.6278769421189612
242,59.0,55.0,34.0,60.0,,,,,,7.0,0.6528748389574265
243,59.0,55.0,34.0,60.0,,,,,,,0.6596406165890203
244,59.0,55.0,34.0,60.0,,,,,24.0,11.5,0.6192881549333065
245,59.0,55.0,34.0,60.0,,,,,,7.0,0.9042302357767021
246,59.0,55.0,34.0,60.0,,,,,,4.5,0.5377391986846383
247,59.0,55.0,34.0,60.0,,,,,,22.5,0.5084372330079316
248,59.0,55.0,34.0,60.0,,,,,,8.0,0.59887526901897
249,59.0,55.0,34.0,60.0,,,,,,15.0,0.5333014808024092
250,59.0,55.0,34.0,60.0,,7.0,49.0,32.0,,,0.5763329948726346
251,59.0,55.0,34.0,60.0,,,,,7.5,4.0,0.6047479071539131
252,59.0,55.0,34.0,60.0,,,,,,3.5,0.6063572381985243
253,59.0,55.0,34.0,60.0,,,,1.0,,,0.5716588780007642
254,59.0,55.0,34.0,60.0,,,,16.0,,,0.5806743050190928
255,59.0,55.0,34.0,60.0,,,,27.0,,,0.6277289166454467
256,59.0,55.0,34.0,60.0,,,,10.5,,,0.6791427418590087
257,59.0,55.0,34.0,60.0,,7.0,16.0,7.0,,,0.6574872387120827
258,64.5,54.5,38.0,50.0,26.5,5.0,,,,,0.4045487554818674
259,64.5,54.5,38.0,50.0,26.5,5.0,15.0,16.0,8.5,2.0,0.4200874750409258
260,64.5,54.5,38.0,50.0,26.5,5.0,,,5.5,6.0,0.4698213262769677
261,64.5,54.5,38.0,50.0,26.5,5.0,,,5.5,7.0,0.43162322380361184
262,64.5,54.5,38.0,32.0,14.5,17.0,,,,,0.26467541318122434
263,64.5,54.5,38.0,32.0,14.5,6.0,,,,,0.3983082945232802
264,64.5,54.5,38.0,32.0,14.5,4.5,,,,,0.3064456752838163
265,64.5,54.5,38.0,12.5,24.0,7.5,14.0,5.5,,,0.46582211368453796
266,64.5,54.5,38.0,12.5,24.0,7.5,,38.5,,,0.46231649456723267
267,64.5,54.5,38.0,12.5,24.0,7.5,,13.5,,,0.33331756771420795
268,64.5,54.5,38.0,12.5,24.0,7.5,,7.0,,,0.5167810650524863
269,64.5,54.5,38.0,11.0,54.5,6.0,36.0,9.0,,,0.544698781556934
270,64.5,54.5,38.0,11.0,54.5,6.0,,,,,0.4877354379300015
271,64.5,54.5,38.0,11.0,54.5,6.0,,,,,0.49926862863704224
272,64.5,54.5,38.0,11.0,54.5,6.0,,,,,0.5647004397707738
273,64.5,54.5,38.0,11.0,54.5,6.0,,40.0,,,0.47809114352473747
274,64.5,54.5,38.0,11.0,54.5,6.0,,,,,0.51837614617905
275,64.5,54.5,38.0,11.0,54.5,6.0,,8.5,,,0.4814608421614499
276,64.5,54.5,38.0,11.0,54.5,6.0,,,,,0.4897510162243751
277,64.5,54.5,38.0,38.0,56.5,69.0,34.0,22.0,,,0.49318074144292434
278,64.5,54.5,38.0,38.0,56.5,69.0,,,,,0.47122157797546216
279,64.5,54.5,38.0,38.0,56.5,69.0,,,,,0.5206506734239107
280,64.5,54.5,38.0,38.0,56.5,69.0,49.0,45.0,,,0.5245899117751233
281,64.5,54.5,38.0,38.0,56.5,69.0,,,,,0.5722471873048647
282,64.5,54.5,38.0,38.0,56.5,69.0,,,,,0.5805155220083189
283,64.5,54.5,38.0,38.0,56.5,69.0,,,,,0.6455908166530328
284,64.5,54.5,38.0,38.0,56.5,69.0,,,,,0.5509317772358366
285,64.5,54.5,38.0,38.0,56.5,69.0,,,,,0.5278623365272144
286,64.5,54.5,38.0,38.0,56.5,69.0,,,,,0.6659746473173522
287,64.5,54.5,38.0,38.0,56.5,69.0,,,,,0.5659217209285359
288,64.5,54.5,38.0,38.0,56.5,69.0,,,,,0.5957989568376646
289,64.5,54.5,38.0,38.0,56.5,69.0,,,,,0.6076245240297267
290,64.5,54.5,38.0,38.0,56.5,69.0,,,,,0.5781373846635218
291,64.5,54.5,38.0,38.0,56.5,69.0,,,,,0.5159885631041364
292,64.5,54.5,38.0,38.0,56.5,69.0,,,37.0,,0.5838667952724668
293,64.5,54.5,38.0,38.0,56.5,69.0,,,,,0.5928596944972528
294,64.5,54.5,38.0,36.0,72.0,40.0,11.0,15.0,,,0.5508639885044109
295,64.5,54.5,38.0,36.0,72.0,2.0,34.0,38.0,,,0.5562560572867942
296,64.5,54.5,38.0,36.0,72.0,2.0,75.0,25.0,11.0,23.0,0.5578863711481458
297,64.5,54.5,38.0,36.0,72.0,2.0,,,,5.5,0.5648885377344286
298,64.5,54.5,38.0,36.0,72.0,2.0,,,,14.5,0.5901159711923841
299,64.5,54.5,38.0,36.0,72.0,2.0,,,,4.0,0.5676559960676566
300,64.5,54.5,38.0,36.0,72.0,2.0,,,,,0.555507367734169
301,64.5,54.5,38.0,36.0,72.0,2.0,,,,,0.5160694979602848
302,64.5,54.5,38.0,36.0,72.0,2.0,,,,,0.529923639144758
303,64.5,54.5,38.0,36.0,72.0,2.0,,,,,0.6886997046516447
304,64.5,54.5,38.0,36.0,72.0,2.0,,,20.5,12.0,0.49628778458509293
305,64.5,54.5,38.0,36.0,72.0,2.0,,,,10.0,0.49628778458509293
306,64.5,54.5,38.0,36.0,72.0,2.0,,,,65.0,0.6317182117962061
307,64.5,54.5,38.0,36.0,72.0,2.0,,,,-4.0,0.5799238510579318
308,64.5,54.5,38.0,36.0,72.0,2.0,,,,,0.6164567611417677
309,64.5,54.5,38.0,111.0,27.0,16.0,19.0,1.0,,,0.6667519488161581
310,64.5,54.5,38.0,111.0,27.0,16.0,23.0,3.0,,,0.7292251905383423
311,64.5,54.5,38.0,111.0,27.0,16.0,,,,,0.6037845580792041
312,64.5,54.5,38.0,111.0,27.0,16.0,,,,,0.6372626057375125
313,64.5,54.5,38.0,111.0,27.0,16.0,,,,,0.5821706297167196
314,64.5,54.5,38.0,111.0,27.0,16.0,,,,,0.5595121652918923
315,64.5,54.5,38.0,111.0,27.0,16.0,8.0,0.5,,,0.6027497834020139
316,64.5,54.5,38.0,33.0,32.0,25.5,15.0,2.0,,,0.5618119553635278
317,64.5,54.5,38.0,33.0,32.0,25.5,14.5,4.0,,,0.662653008854728
318,64.5,54.5,38.0,33.0,32.0,25.5,,,,,0.5639665341259542
319,64.5,54.5,38.0,43.0,43.0,49.0,55.0,12.0,6.5,6.0,0.64221039033192
320,64.5,54.5,38.0,43.0,43.0,49.0,,,11.5,2.0,0.5260112610634644
321,64.5,54.5,38.0,43.0,43.0,49.0,,,15.0,4.0,0.5642368925428244
322,64.5,54.5,38.0,43.0,43.0,49.0,,,12.5,11.5,0.6309586225999568
323,64.5,54.5,38.0,43.0,43.0,49.0,,,,,0.6249845143869038
324,64.5,54.5,38.0,43.0,43.0,49.0,,,14.5,4.0,0.5991795552153686
325,64.5,54.5,38.0,43.0,43.0,49.0,,,,12.0,0.46620400637940684
326,64.5,54.5,38.0,43.0,43.0,49.0,,,,2.5,0.5103484175674549
327,64.5,54.5,38.0,66.0,18.0,6.0,11.0,15.0,,,0.5328549371729108
328,64.5,54.5,38.0,66.0,18.0,6.0,,,,,0.4735058656401335
329,64.5,54.5,38.0,62.0,50.5,11.0,10.0,14.0,,,0.5860212635193149
330,64.5,54.5,38.0,62.0,50.5,11.0,,4.0,,,0.5706631190870286
331,64.5,54.5,38.0,62.0,50.5,11.0,,13.0,,,0.49834274145046653
332,64.5,54.5,38.0,62.0,50.5,11.0,,,,,0.4477854653201081
333,64.5,54.5,38.0,62.0,50.5,11.0,,,42.0,10.0,0.49675764459320404
334,64.5,54.5,38.0,62.0,50.5,11.0,,,,14.0,0.5440415106543702
335,64.5,54.5,38.0,62.0,50.5,11.0,,,,,0.5138408204127531
336,64.5,54.5,38.0,62.0,50.5,11.0,,,,,0.6659501633078102
337,64.5,54.5,38.0,62.0,50.5,11.0,,,,,0.5223540936844433
338,64.5,54.5,38.0,62.0,50.5,11.0,,,,,0.5320301972314684
339,64.5,54.5,38.0,9.0,30.5,61.0,,,,,0.671631807635416
340,64.5,54.5,38.0,9.0,30.5,5.0,21.0,8.0,,,0.5222895474310533
341,64.5,54.5,38.0,9.0,30.5,5.0,,,,,0.4843068405634017
342,64.5,54.5,38.0,9.0,30.5,5.0,,,,,0.5114429528658551
