Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Varieté SPRING BRIGHT : Arbre12/ligne8 ,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
Tronc,,charpant,,1er ss charpante,,2ème ss charpante,,3ème ss charpante,,4ème ss charpante,,5ème ss charpante,,Rameaux,,,Fruit 1 ,,Fruit 2,,Fruit 3,,Fruit 4,,Fruit 5,,Fruit 6,,Fruit 7,,Fruit 8,,Fruit 9,,Fruit 10,,Fruit 11,,,,Chiffons ,
Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Nbre_fruit,RDT,Poids ,diamètre 
71,55,37,200,72.35,48,76.7,22,60.55,58,25.9,3.5,,,R49,6.18,34,179,69.19,130,63.73,,,,,,,,,,,,,,,,,,,2,309,,
71,55,37,200,72.35,48,76.7,22,60.55,58,25.9,15.5,,,R50,11,61,171,67.5,86,52.68,192,71.54,115,58.95,,,,,,,,,,,,,,,4,564,,
71,55,37,200,72.35,48,76.7,22,60.55,58,25.9,39,,,R51,8.3,66,149,63.46,190,70.31,175,71.37,174,70.62,,,,,,,,,,,,,,,4,688,,
71,55,37,200,72.35,48,76.7,22,60.55,70,31.9,23,,,R52,6.5,49,203,71.78,188,71.68,,,,,,,,,,,,,,,,,,,2,391,,
71,55,37,200,72.35,48,76.7,22,60.55,70,31.9,33,,,R53,8.9,48.5,197,73.8,216,75.52,228,73.71,,,,,,,,,,,,,,,,,3,641,,
71,55,37,228,96.22,3,22.86,2,,,,,,,R54,7.25,70,148,64.86,,,,,,,,,,,,,,,,,,,,,1,148,,
71,55,37,228,96.22,3,22.86,11,17.66,1.5,,,,,R55,6.77,52.6,135,61.99,79,49.72,125,60.59,,,,,,,,,,,,,,,,,3,339,,
71,55,37,228,96.22,3,22.86,11,17.66,3.9,,,,,R56,5.72,30,114,58.61,199,71.84,,,,,,,,,,,,,,,,,,,2,313,,
71,55,37,228,96.22,54,45.5,2.5,30.18,1,20.09,9,,,R57,4.24,21,194,71.46,175,69.2,,,,,,,,,,,,,,,,,,,2,369,,
71,55,37,228,96.22,54,45.5,2.5,30.18,1,20.09,21,,,R58,9.03,46,190,71.07,217,73.35,,,,,,,,,,,,,,,,,,,2,407,,
