Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Varieté SPRING BRIGHT : Arbre10/ligne7,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
Tronc,,charpant,,1er ss charpante,,2ème ss charpante,,3ème ss charpante,,4ème ss charpante,,5ème ss charpante,,Rameaux,,,Fruit 1 ,,Fruit 2,,Fruit 3,,Fruit 4,,Fruit 5,,Fruit 6,,Fruit 7,,Fruit 8,,Fruit 9,,Fruit 10,,Fruit 11,,,,Chiffons ,
Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Nbre_fruit,RDT,Poids ,diamètre 
69.5,49,35.4,224.5,80.06,31,43.4,41,22.8,6,20.5,18,,,R43,7.18,42.5,116,57.6,75,52.09,,,,,,,,,,,,,,,,,,,2,191,,
69.5,49,35.4,224.5,80.06,31,43.4,41,22.8,6,20.5,24,,,R44,9.45,67,138,63.32,125,59.61,148,65.06,130,62.18,178,68.88,152,65.42,,,,,,,,,,,6,871,,
69.5,49,35.4,224.5,80.06,31,43.4,41,22.8,10,17.89,14,14.27,8,R45,11.4,68,176,69.37,177,68.48,224,74.76,,,,,,,,,,,,,,,,,3,577,,
69.5,49,35.4,224.5,80.06,31,43.4,41,22.8,10,17.89,14,14.27,13,R46,8.46,38.5,150,71.28,171,68.42,212,74.18,169,68.31,,,,,,,,,,,,,,,4,702,,
69.5,62,31.5,147,75.8,9,30.5,6.9,,,,,,,R47,7.67,60,118,58.66,140,63.06,123,59.83,95,55.92,125,61.05,,,,,,,,,,,,,5,601,,
69.5,62,31.5,147,75.8,9,30.5,17.4,21.23,5,6.22,4,,,R48,5.9,46,122,59.41,109,57.09,119,60.67,133,60.99,,,,,,,,,,,,,,,4,483,,
69.5,62,31.5,147,75.8,9,30.5,17.4,21.23,16,10.32,6,,,R49,7.29,43,138,62.21,128,61.42,144,63.11,131,63.93,,,,,,,,,,,,,,,4,541,,
69.5,62,31.5,147,75.8,9,30.5,17.4,21.23,22,14.88,12.5,,,R50,6.6,48,129,61.58,151,62.11,167,72.55,105,56.34,,,,,,,,,,,,,,,4,552,,
69.5,62,31.5,147,75.8,9,30.5,17.4,21.23,22,14.88,20,,,R51,6.9,51,102,58.18,,,,,,,,,,,,,,,,,,,,,1,102,,
69.5,62,31.5,147,75.8,29,49.6,7,12.06,2,,,,,R52,7.34,55.2,111,60.88,239,73.64,108,57.81,146,65.55,,,,,,,,,,,,,,,4,604,,
69.5,62,31.5,147,75.8,29,49.6,27,20.84,30,,,,,R53,6.5,35,155,68.3,164,75.08,130,62.3,,,,,,,,,,,,,,,,,3,449,,
69.5,62,31.5,147,75.8,29,49.6,27,20.84,41,8.8,4,,,R54,5.5,45,171,67.47,,,,,,,,,,,,,,,,,,,,,1,171,,
69.5,62,31.5,147,75.8,29,49.6,49,16.6,7,15.07,3.2,,,R55,7.48,46,158,66.38,146,67.88,125,60.35,90,55.25,140,64,,,,,,,,,,,,,5,659,,
