Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Varieté SPRING BRIGHT : Arbre 15/ligne 8 ,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
Tronc,,charpant,,1er ss charpante,,2ème ss charpante,,3ème ss charpante,,4ème ss charpante,,5ème ss charpante,,Rameaux,,,Fruit 1 ,,Fruit 2,,Fruit 3,,Fruit 4,,Fruit 5,,Fruit 6,,Fruit 7,,Fruit 8,,Fruit 9,,Fruit 10,,Fruit 11,,,,Chiffons ,
Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Nbre de fruit ,RDT,Poids ,diamètre 
71,41,38,134,78.5,27,59.8,85.5,50.72,9.5,30.5,27,10.5,7,R62,9,67,209,71.95,168,66.43,133,60.72,,,,,,,,,,,,,,,,,3,510,,
71,41,38,134,78.5,27,59.8,85.5,50.72,9.5,30.5,34,,,R63,7.25,45,135,63.39,144,63.45,193,74.2,216,75.06,,,,,,,,,,,,,,,4,688,,
71,41,38,134,78.5,27,59.8,85.5,50.72,9.5,30.5,43,,,R64,9.78,79,171,67.52,141,62.51,183,69.67,155,65.64,194,71.62,,,,,,,,,,,,,5,844,,
71,41,38,134,78.5,27,59.8,85.5,50.72,14.5,41.71,18,30.5,7,R65,5.88,32,212,72.67,220,73.91,,,,,,,,,,,,,,,,,,,2,432,,
71,41,38,134,78.5,27,59.8,85.5,50.72,14.5,41.71,18,30.5,10.5,R66,6.5,32,145,63.95,128,62.14,,,,,,,,,,,,,,,,,,,2,273,,
71,41,38,134,78.5,27,59.8,85.5,50.72,14.5,41.71,18,30.5,23.5,R67,7.8,36,152,63.53,178,67.64,,,,,,,,,,,,,,,,,,,2,330,,
71,41,38,134,78.5,27,59.8,85.5,50.72,14.5,41.71,18,30.5,31.5,R68,9.8,72,140,62.8,135,61.98,117,60.05,192,71.1,157,70.44,,,,,,,,,,,,,5,741,,
71,41,38,202,65.5,12,22.6,6,7.72,5,,,,,R69,5.17,28,142,63.25,130,60.42,,,,,,,,,,,,,,,,,,,2,272,,
71,41,38,202,65.5,12,22.6,18,7.72,0,,,,,R70,4.6,29.5,151,65.08,158,65.34,161,67.13,,,,,,,,,,,,,,,,,3,470,,
71,41,38,202,65.5,18,35.8,3,22.6,3,12.5,3.5,,,R71,9.7,87,147,64,175,66.9,180,69.99,137,62.87,156,65.04,146,64.21,,,,,,,,,,,6,941,,
71,41,38,202,65.5,18,35.8,3,22.6,8,,,,,R72,8.7,89,147,64.65,160,67.28,148,65.07,150,64.04,196,57.2,,,,,,,,,,,,,5,801,,
71,41,38,202,65.5,29,12.38,2,,,,,,,R73,8.35,47,100,56.95,185,69.87,125,60.9,112,57.9,156,65.33,,,,,,,,,,,,,5,678,,
71,41,38,202,65.5,29,12.38,2,,,,,,,R74,6.8,31,74,52.58,158,64.34,103,61.5,,,,,,,,,,,,,,,,,3,335,,
71,41,38,202,65.5,59,28.9,6,12.6,6,,,,,R75,4.9,40.5,134,60.78,149,63.94,180,67.89,,,,,,,,,,,,,,,,,3,463,,
71,41,38,202,65.5,59,12.38,15,7.02,4,,,,,R76,5,18,158,65.82,119,61.63,,,,,,,,,,,,,,,,,,,2,277,,
71,41,38,202,65.5,59,13.38,15,8.02,6,,,,,R77,4.3,20,201,73.2,181,71.37,,,,,,,,,,,,,,,,,,,2,382,,
71,41,38,202,65.5,63,44.25,14,36.9,2,,,,,R78,8.61,63,159,65.45,212,73.1,194,70.67,220,72.5,,,,,,,,,,,,,,,4,785,,
71,41,38,202,65.5,63,44.25,14,36.9,9,14.9,19,9.27,8,R79,6.17,34,152,66.85,114,59.42,195,70.94,,,,,,,,,,,,,,,,,3,461,,
71,53,31,129,39.7,30,24.4,3,9.39,4,,,,,R80,5.5,55,142,63.58,61,50.34,62,47.54,118,57.79,,,,,,,,,,,,,,,4,383,,
71,53,31,129,39.7,30,24.4,8,,,,,,,R81,8.6,74,161,66.52,123,62.12,126,60.17,127,64.97,116,58.69,,,,,,,,,,,,,5,653,,
71,53,31,129,39.7,30,24.4,8.5,,,,,,,R82,7.14,79,158,66.65,107,57.09,103,57.08,92,55.3,88,53.77,,,,,,,,,,,,,5,548,,
71,53,31,165,34.8,9,14.3,2,,,,,,,R83,8.7,75,149,64.89,91,55.65,137,62.36,165,65.93,153,66.21,206,72.69,170,67.68,211,72.69,,,,,,,8,1282,,
71,53,31,165,34.8,14,16.6,5,15.3,7,6,13,,,R84,4.2,26,129,60.57,124,59.41,,,,,,,,,,,,,,,,,,,2,253,,
71,53,31,259,65.55,14,10.12,4,,,,,,,R85,5.35,44,158,65.85,123,60.93,162,65.95,,,,,,,,,,,,,,,,,3,443,,
71,53,31,259,65.55,31,39.23,15,11.7,11,,,,,R86,4.5,23,136,63.61,165,67.78,,,,,,,,,,,,,,,,,,,2,301,,
71,53,31,259,65.55,31,39.23,15,11.7,22.5,,,,,R87,4.9,32,117,59.34,155,65.09,,,,,,,,,,,,,,,,,,,2,272,,
71,53,31,259,65.55,31,39.23,38,27.3,8,17.76,13,,,R88,10.5,94,158,64.24,183,69.25,202,72.71,209,79.56,,,,,,,,,,,,,,,4,752,,
71,53,31,259,65.55,31,39.23,61,27.3,8,17.76,17,,,R89,5.5,35,179,68.84,139,63.08,168,66.71,209,79.56,,,,,,,,,,,,,,,4,695,,
71,53,31,259,65.55,31,39.23,65,24.9,2,,,,,R90,8.4,75,156,65.57,139,62.58,138,63.57,142,63.93,168,67.11,148,63.89,151,64.38,,,,,,,,,7,1042,,
71,53,31,259,65.55,31,39.23,65,24.9,15,13.7,6,,,R91,7.22,47,173,67.72,136,62.81,179,70.72,,,,,,,,,,,,,,,,,3,488,,
71,53,31,259,52.39,2,15.1,5,,,,,,,R92,5.88,27,138,68.34,183,70.27,,,,,,,,,,,,,,,,,,,2,321,,
71,53,31,259,52.39,2,15.1,6.5,,,,,,,R93,9.9,89,149,70.08,172,68.3,213,75.1,146,62.94,,,,,,,,,,,,,,,4,680,,
71,53,31,259,52.39,2,15.1,14.9,,,,,,,R94,6.3,55,141,63.43,162,68.52,,,,,,,,,,,,,,,,,,,2,303,,
71,53,31,259,52.39,32,52.7,28,21.7,3.5,15.27,15,6.47,3,R95,5.5,17,147,67.42,165,67.7,,,,,,,,,,,,,,,,,,,2,312,,
71,53,31,259,52.39,32,52.7,28,21.7,3.5,15.27,19,8.4,10,R96,5.4,38,202,75.95,194,69.62,126,63.21,,,,,,,,,,,,,,,,,3,522,,
71,53,31,259,52.39,32,52.7,28,21.7,10.5,12.38,21.5,,,R97,9.11,75.5,171,66.74,137,62.94,136,61.8,164,66.07,169,68.1,251,78.36,,,,,,,,,,,6,1028,,
71,53,31,259,52.39,32,52.7,33,32.43,15,20.38,4,,,R98,9.72,77,155,65.96,169,66.9,227,76.05,Tombé,,166,68.93,155,66.13,182,68.54,,,,,,,,,7,1054,,
71,53,31,259,52.39,32,52.7,33,32.43,18,22.88,6.5,,,R99,11.25,84.5,165,65.83,165,67.93,202,72.82,152,65.46,153,66.68,,,,,,,,,,,,,5,837,,
71,53,31,259,52.39,32,52.7,33,32.43,18,22.88,19.5,,,R100,6.6,29,177,70.83,192,70.08,196,71.6,,,,,,,,,,,,,,,,,3,565,,
71,52,37,87,32.22,8,20.7,13,,,,,,,R101,9.38,34,122,64.53,134,60.92,131,62.55,,,,,,,,,,,,,,,,,3,387,135,61.83
71,52,37,87,32.22,8,20.7,13,10.16,10,,,,,R102,4,22,106,54.37,107,54.58,,,,,,,,,,,,,,,,,,,2,213,138,64.59
71,52,37,87,32.22,8,20.7,13,10.16,20,,,,,R103,6.9,70,128,60.53,126,59.78,131,60.63,150,63.64,,,,,,,,,,,,,,,4,535,151,67.06
71,52,37,98,33.5,7,13.4,5,,,,,,,R104,6.2,54,95,54.16,92,54.88,91,53.23,,,,,,,,,,,,,,,,,3,278,138,62.9
71,52,37,98,33.5,7,13.4,14,8.5,6,,,,,R105,6.05,72,103,54.69,154,64.27,124,59.34,,,,,,,,,,,,,,,,,3,381,,
71,52,37,143,22.3,16,17.33,4,17.9,1,13.7,13,,,R106,5.33,47,89,54.26,104,57.3,125,61.97,,,,,,,,,,,,,,,,,3,318,,
71,52,37,143,22.3,16,17.33,4,17.9,1,13.7,21,,,R107,5.9,33,130,60.92,127,59.86,138,61.77,,,,,,,,,,,,,,,,,3,395,,
71,52,37,143,22.3,16,17.33,4,17.9,3,9.39,13,,,R108,5.6,36,126,60.09,111,58.22,,,,,,,,,,,,,,,,,,,2,237,,
71,52,37,184,65.8,9,13.7,2.5,,,,,,,R109,5.72,43,147,63.6,98,55.22,,,,,,,,,,,,,,,,,,,2,245,,
71,52,37,184,65.8,9,22.26,3,,,,,,,R110,8.6,98,138,62.16,140,63.72,136,63.11,107,57.56,127,61.56,105,56.09,,,,,,,,,,,6,753,,
71,52,37,184,65.8,9,22.26,12.5,,,,,,,R111,6.48,27.5,82,52.35,,,,,,,,,,,,,,,,,,,,,1,82,,
71,52,37,184,65.8,50,11.7,4,,,,,,,R112,7.6,47.5,157,65.91,161,68.11,153,64.57,,,,,,,,,,,,,,,,,3,471,,
71,52,37,184,65.8,54,26.44,27,9.42,20,,,,,R113,5.4,26,117,58.86,148,68.25,,,,,,,,,,,,,,,,,,,2,265,,
71,52,37,184,65.8,54,26.44,40,8.5,19.5,,,,,R114,6.5,29.5,148,68.11,160,67.16,158,63.26,120,60.44,,,,,,,,,,,,,,,4,586,,
71,52,37,202,62.73,32,29.11,22,,,,,,,R115,6.7,55,123,59.81,138,62.39,135,61.42,124,,,,,,,,,,,,,,,,4,520,,
71,52,37,202,62.73,32,29.11,37,,,,,,,R116,7,47,129,62.52,63,47.77,134,63.07,154,65.78,169,67.64,126,61.56,,,,,,,,,,,6,775,,
71,52,37,202,62.73,32,29.11,42,,,,,,,R117,13.8,99,142,64.19,124,59.89,168,67.82,145,64.72,149,63.93,150,65.9,,,,,,,,,,,6,878,,
71,52,37,202,62.73,32,29.11,46,17.8,2.5,8.38,4,,,R118,6.6,45,165,66.3,,,,,,,,,,,,,,,,,,,,,1,165,,
71,52,37,202,62.73,32,29.11,46,17.8,15,12.4,16,,,R119,7.89,56.5,117,58.08,125,65.23,161,66.73,136,62.26,,,,,,,,,,,,,,,4,539,,
71,52,37,202,62.73,56,13.14,8.5,7.9,10.5,,,,,R120,5.5,22,134,62.68,,,,,,,,,,,,,,,,,,,,,1,134,,
