Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Varieté 48/52 : Arbre 11 / ligne 13 ,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46
Tronc,,charpant,,1er ss charpante,,2ème ss charpante,,3ème ss charpante,,4ème ss charpante,,5ème ss charpante,,Rameaux,,,Fruit 1 ,,Fruit 2,,Fruit 3,,Fruit 4,,Fruit 5,,Fruit 6,,Fruit 7,,Fruit 8,,Fruit 9,,Fruit 10,,Fruit 11,,,,Chiffons ,,Chiffons ,,,
Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Nombre de fruit,RDT,Poids ,diamètre ,Poids ,diamètre ,,moy-poids
71.5,41,32.5,136.5,40.76,75.5,,,,,,,,,R46,6.09,31.6,113,57.27,77,51.34,108,56.25,101,54.75,86,53.55,98,57.56,,,,,,,,,,,6,583,87,57.59,,,,
71.5,41,32.5,174.3,,,,,,,,,,,R47,7.27,57.8,,,,,,,,,,,,,,,,,,,,,,,0,0,89,53.09,,,,
71.5,41,32.5,174.3,12.52,34,,,,,,,,,R48,7.79,75.8,113,55.43,122,56.74,,,,,,,,,,,,,,,,,,,2,235,92,54.89,,,,
71.5,41,32.5,194.70000000000002,24.22,12.5,,,,,,,,,R49,8.63,36.5,136,63.11,162,68.22,,,,,,,,,,,,,,,,,,,2,298,91,53.38,,,,
71.5,41,32.5,200.70000000000002,,,,,,,,,,,R50,5.53,19,123,60.04,148,64.24,123,61.74,157,66.8,129,61.17,90,52.51,,,,,,,,,,,6,770,123,61.69,,,,
71.5,41,32.5,206.70000000000002,60.4,1,,,,,,,,,R51,5.12,27.4,0,,,,,,,,,,,,,,,,,,,,,,1,0,129,60.31,,,,
71.5,41,32.5,206.70000000000002,60.4,13.5,41.86,2,,,,,,,R52,10.89,52,116.76,,,,,,,,,,,,,,,,,,,,,,1,116.76,121,57.55,,,,
71.5,41,32.5,206.70000000000002,60.4,13.5,41.86,31,,,,,,,R53,9.19,57,,,,,,,,,,,,,,,,,,,,,,,0,0,136,52.95,,,,
71.5,41,32.5,206.70000000000002,60.4,13.5,41.86,34.5,,,,,,,R54,12.93,82,,,,,,,,,,,,,,,,,,,,,,,0,0,115,61.5,,,,
71.5,41,32.5,206.70000000000002,60.4,13.5,41.86,56.8,,,,,,,R55,8.86,59,182,69.29,200,70.05,188,70.86,234,74.9,,,,,,,,,,,,,,,4,804,94,62.67,,,,
71.5,41,32.5,213.70000000000002,59.84,33,15.96,9,,,,,,,R56,8.88,61.8,78,50.72,116.76,,116.76,,,,,,,,,,,,,,,,,,3,311.52,74,48.81,,,,
