Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Varieté 48/52 : Arbre 10 / ligne 11 ,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
Tronc,,charpant,,1er ss charpante,,2ème ss charpante,,3ème ss charpante,,4ème ss charpante,,5ème ss charpante,,Rameaux,,,Fruit 1 ,,Fruit 2,,Fruit 3,,Fruit 4,,Fruit 5,,Fruit 6,,Fruit 7,,Fruit 8,,Fruit 9,,Fruit 10,,Fruit 11,,,,Chiffons ,,,
Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Nombre de fruit,RDT,Poids ,diamètre ,,moy-poids
69,34,37,263,55.18,31,39.82,36,17.26,14,,,,,R64,11.5,67,125.23,,153,65.07,125.23,,125.23,,,,,,,,,,,,,,,,4,528.69,144,64,,
69,34,37,263,55.18,31,39.82,36,17.26,24,12.83,1.5,,,R65,6.09,30,165,65.47,125.23,,,,,,,,,,,,,,,,,,,,2,290.23,135,66.1,,
69,34,37,263,55.18,31,39.82,36,17.26,24,12.83,5.5,,,R66,5.8,21.5,173,67.65,125.23,,,,,,,,,,,,,,,,,,,,2,298.23,,,,
69,34,37,263,55.18,31,39.82,51,21.5,8,12.83,13,,,R67,6.37,12,126,61.4,,,,,,,,,,,,,,,,,,,,,1,126,,,,
69,34,37,263,55.18,31,39.82,51,21.5,9,,,,,R68,14.5,74,125.23,,125.23,,125.23,,125.23,,,,,,,,,,,,,,,,4,500.92,,,,
69,47,30,76,43.6,24,8.49,30,,,,,,,R69,10.4,91,128,59.13,156,64.69,109,57.34,122,58.15,,,,,,,,,,,,,,,4,515,134,63.21,,
69,47,30,76,43.6,40.5,15.83,2.5,,,,,,,R70,10.18,96,125.23,,132,60.9,136,59,129,60.28,,,,,,,,,,,,,,,4,522.23,157,66.44,,
69,47,30,76,43.6,111.5,57.47,5,29.69,4,,,,,R71,17.9,119,176,70.4,174,67.39,125.23,,125.23,,,,,,,,,,,,,,,,4,600.46,190,68.53,,
69,47,30,76,43.6,111.5,57.47,36,12.18,1.5,,,,,R72,3.14,22,,,,,,,,,,,,,,,,,,,,,,,0,0,175,68.08,,
69,47,30,76,43.6,111.5,57.47,42,33.29,27,30.9,4,21.6,56,R73,6.61,40,,,,,,,,,,,,,,,,,,,,,,,0,0,112,56.97,,
69,47,30,76,43.6,111.5,57.47,42,33.29,27,30.9,4,21.6,60,R74,6.58,52,125.23,,125.23,,125.23,,,,,,,,,,,,,,,,,,3,375.69,125,61.8,,
69,47,30,76,43.6,111.5,57.47,42,33.29,27,30.9,13,17.23,85,R75,6.63,55,166,68.01,125.23,,,,,,,,,,,,,,,,,,,,2,291.23,123,59.26,,
69,47,30,76,43.6,111.5,57.47,42,33.29,27,30.9,13,17.23,89,R76,4.92,28,125.23,,,,,,,,,,,,,,,,,,,,,,1,125.23,,,,
69,47,30,220,32.5,23,,,,,,,,,R77,5.35,38,125.23,,125.23,,,,,,,,,,,,,,,,,,,,2,250.46,,,,
69,47,30,220,32.5,41,,,,,,,,,R78,10.03,80,153,65.99,101,54.39,125.23,,,,,,,,,,,,,,,,,,3,379.23,,,,
69,47,30,256,37.51,51,,,,,,,,,R79,9.3,64,120,62.29,125.23,,125.23,,,,,,,,,,,,,,,,,,3,370.46000000000004,,,,
69,47,30,269.5,37.21,15,26.75,3.5,17.69,2,7.48,4,,,R80,6.87,41,125.23,,125.23,,,,,,,,,,,,,,,,,,,,2,250.46,,,,
69,47,30,269.5,37.21,15,30.8,25,,,,,,,R81,12.97,72,125.23,,125.23,,125.23,,,,,,,,,,,,,,,,,,3,375.69,,,,
69,47,30,272.5,18.9,5,16.65,4,,,,,,,R82,8.99,67,121,58.7,171,67.61,,,,,,,,,,,,,,,,,,,2,292,,,,
69,47,30,275.5,39.02,27,29.4,3,,,,,,,R83,12.9,87,143,62.68,125.23,,125.23,,,,,,,,,,,,,,,,,,3,393.46000000000004,,,,
69,47,30,275.5,39.02,34,23.45,9,11.81,1,,,,,R84,9.03,52,125.23,,125.23,,125.23,,,,,,,,,,,,,,,,,,3,375.69,,,,
69,25,30,53,44.9,76,35.3,37,29.18,37,20.5,0.5,,,R85,5.12,41,67,49.82,,,,,,,,,,,,,,,,,,,,,1,67,102,56.49,,
69,25,30,53,44.9,76,35.3,37,29.18,41,21.7,8,,,R86,5.89,40,139,61.27,,,,,,,,,,,,,,,,,,,,,1,139,115,59.35,,
69,25,30,91,,,,,,,,,,,R87,9.11,119,106,57.42,93,52.42,121,58.74,95,53.03,,,,,,,,,,,,,,,4,415,160,65.4,,
69,25,30,91,,,,,,,,,,,R88,12.09,130,126,60.37,106,55.94,81,49.97,,,,,,,,,,,,,,,,,3,313,129,60.19,,
69,25,30,110,,,,,,,,,,,R89,14.13,119,125.23,,174,71.86,128,59.15,,,,,,,,,,,,,,,,,3,427.23,136,63.78,,
69,25,30,113.5,,,,,,,,,,,R90,6.96,21,125,60.47,76,50.39,,,,,,,,,,,,,,,,,,,2,201,210,73.52,,
69,25,30,181.5,14.13,3.5,,,,,,,,,R91,9.3,107,123,58.29,122,57.97,106,56.85,81,53.28,104,55.71,,,,,,,,,,,,,5,536,158,64.15,,
69,25,30,230.5,12.9,1,,,,,,,,,R92,3.8,17.5,,,,,,,,,,,,,,,,,,,,,,,0,0,170,69.38,,
69,25,30,258.5,30.18,3.5,16.6,77,,,,,,,R93,6.3,43,125.23,,149,62.92,125.23,,,,,,,,,,,,,,,,,,3,399.46000000000004,144,63.92,,
69,25,30,277.5,,,,,,,,,,,R94,4.4,33,138,60.25,136,59.23,,,,,,,,,,,,,,,,,,,2,274,174,67.77,,
69,25,30,284.5,23.5,12,,,,,,,,,R95,7.9,82.5,175,66.75,123,60.14,,,,,,,,,,,,,,,,,,,2,298,146,62.27,,
69,25,30,284.5,23.5,29,12.68,7.5,,,,,,,R96,9.15,79,109,60.61,105,57.76,123,56.26,,,,,,,,,,,,,,,,,3,337,121,59.5,,
69,25,30,290,19.6,2.5,,,,,,,,,R97,6.82,29,153,63.25,170,69.04,,,,,,,,,,,,,,,,,,,2,323,136,64.07,,
69,25,30,290,19.6,11.5,14.13,4,,,,,,,R98,8.05,49,111,59.04,,,,,,,,,,,,,,,,,,,,,1,111,152,63.97,,
69,25,30,297,,,,,,,,,,,R99,13,84,155,64.64,140,60.93,160,65.45,,,,,,,,,,,,,,,,,3,455,171,68.21,,
69,25,30,314,95.46,13,18.9,2,,,,,,,R100,6.38,29,,,,,,,,,,,,,,,,,,,,,,,0,0,157,66.62,,
69,25,30,314,95.46,24,34.79,4.5,14.07,0.5,,,,,R101,10.88,76,96,54.44,125.23,,125.23,,,,,,,,,,,,,,,,,,3,346.46000000000004,,,,
69,25,30,314,95.46,28,14.1,2,,,,,,,R102,8.35,49,182,69.96,,,,,,,,,,,,,,,,,,,,,1,182,,,,
69,25,30,314,95.46,50,36.25,6,,,,,,,R103,11,73,125.23,,125.23,,125.23,,125.23,,,,,,,,,,,,,,,,4,500.92,,,,
69,25,30,314,95.46,50,36.25,10,13.5,12,,,,,R104,6.64,41,149,62.76,128,58.67,125.23,,,,,,,,,,,,,,,,,,3,402.23,,,,
69,25,30,314,95.46,50,36.25,10,35.8,21,,,,,R105,14.12,94,61,46.94,125,60.18,125.23,,125.23,,,,,,,,,,,,,,,,4,436.46000000000004,,,,
69,25,30,314,95.46,50,36.25,10,35.8,37,19.3,10,,,R106,11,72,125.23,,125.23,,125.23,,,,,,,,,,,,,,,,,,3,375.69,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total,,31.004599999999968,,,,
