Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Arbre N° : 12,,Ligne N° : 11,,,"Variété : Nectarinier ""Spring Bright """,,,,Parcelle : 1306,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tronc,,charpant,,1 er ss charpant,,2 éme ss charpant,,3 éme ss charpant,,4 éme ss charpant,,5 éme ss charpant,,Rameaux,,,FRUIT 1,,FRUIT 2,,FRUIT 3,,FRUIT 4,,FRUIT 5,,FRUIT 6,,FRUIT 7,,,
,,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Nbr de fruit par rameau,Poid total de fruit  par rameau
,,76,53,44,94,51.5,91,27.8,7,20.1,34.7,12.2,15,,,R48,6.7,36,139,60.58,,,,,,,,,,,,,1,139
,,76,53,44,137,77,61,61.4,15,31.9,2.5,22.1,9,15.7,14,R49,7,37,,,,,,,,,,,,,,,0,0
,,76,53,44,137,77,61,61.4,15,31.9,2.5,22.1,9,15.7,21,R50,5.1,35,37,39.78,,,,,,,,,,,,,1,37
,,76,53,44,137,77,61,61.4,15,31.9,2.5,22.1,9,15.7,36,R51,7.8,63,208,74.11,213,72,170,68.08,,,,,,,,,3,591
,,76,53,44,147,69.3,0,38.5,73,,,,,,,R52,8.1,73,156,62.26,111,57.96,97,56.36,,,,,,,,,3,364
,,76,53,44,147,69.3,0,38.5,86,15.7,4.2,,,,,R53,7.6,77,97,55.75,112,50.29,72,49.58,87,51.51,103,53.71,,,,,5,471
,,76,53,44,147,69.3,0,38.5,86,15.7,15.2,,,,,R54,5.5,43,170,67.58,219,75.01,,,,,,,,,,,2,389
,,76,53,44,147,69.3,0,38.5,86,15.7,30.2,8.3,23,,,R55,5.8,27,,,,,,,,,,,,,,,0,0
,,76,53,44,147,69.3,0,38.5,86,15.7,34.2,11.2,9,,,R56,6.7,56,207,72.87,94,56.85,128,62.91,,,,,,,,,3,429
,,76,53,44,212,86.1,51,82.5,20,10.5,8,,,,,R57,7?1,67,149,65.31,153,65.98,75,52.59,195,73.26,184,64.89,123,55.76,,,6,879
,,76,53,44,212,86.1,51,82.5,26,57.7,40,34.3,20.4,,,R58,7.3,35,87,55.29,135,60.9,,,,,,,,,,,2,222
,,76,53,44,212,86.1,51,82.5,26,57.7,40,34.3,27.9,,,R59,8.8,62,140,61.35,119,57.7,108,62.61,167,58.97,,,,,,,4,534
,,76,53,44,212,86.1,64,71.7,8,52.2,11,35.2,8,,,R60,9.4,65,132,57.14,,,,,,,,,,,,,1,132
,,76,53,44,212,86.1,64,71.7,8,52.2,40,43.1,5,27.7,11,R61,7.8,36,142,64.42,98,56.36,152,64.47,,,,,,,,,3,392
,,76,53,44,212,86.1,64,71.7,8,52.2,40,43.1,5,27.7,14,R62,8.6,31,122,61.66,131,64.59,,,,,,,,,,,2,253
,,76,53,44,212,86.1,64,71.7,29,59.7,40,24.2,25.5,,,R63,7.6,42,199,70.59,248,72.19,227,74.85,,,,,,,,,3,674
,,76,53,44,212,86.1,64,71.7,29,59.7,81.5,19.1,20,,,R64,6.8,45,166,64.25,122,54.31,155,,,,,,,,,,2,443
,,76,53,44,212,86.1,64,71.7,29,59.7,81.5,19.1,22.5,,,R65,9.3,49,170,64.55,,,,,,,,,,,,,1,170
,,76,53,38,60,65.1,4,23.5,21.2,,,,,,,R66,6.4,52,133,62.71,,,,,,,,,,,,,1,133
,,76,53,38,60,65.1,4,23.5,47.2,,,,,,,R67,5.3,40,221,79.83,,,,,,,,,,,,,1,221
,,76,53,38,60,65.1,15,22.9,6,,,,,,,R68,7,44,270,77.7,,,,,,,,,,,,,1,270
,,76,53,38,60,65.1,26,22.9,29,9,12,,,,,R69,3.3,20,154,62.82,,,,,,,,,,,,,1,154
,,76,53,38,60,65.1,37,22.9,36,17.8,12,,,,,R70,4.3,29,190,64.88,,,,,,,,,,,,,1,190
,,76,53,38,60,65.1,48,22.9,36,17.8,26.3,,,,,R71,6.8,43,168,66.95,,,,,,,,,,,,,1,168
