DTronc,LTronc,DChar,LChar,DChar1,LChar1,DChar2,LChar2,DChar3,LChar3,DChar4,LChar4,NumRam,DRam,LRam,PFr1,DFr1,PFr2,DFr2,PFr3,DFr3,PFr4,DFr4,PFr6,DFr6,DChar5,LChar5,PFr5,DFr5,year
66.5,40,39,59,,,,,,,,,R23,6.32,31,154,66,,,,,,,0,0,0,0,0,0,2019
66.5,40,39,13,,,,,,,,,R24,7.12,58,,,,,,,,,0,0,0,0,0,0,2019
66.5,40,39,0,13.02,1,13.62,19,,,,,R25,6.96,75,146,63,106,58,92,58,,,0,0,0,0,0,0,2019
66.5,40,39,8,13.02,0,,,,,,,R26,10.89,123,184,69,186,66,,,,,0,0,0,0,0,0,2019
66.5,40,39,32,60,36,43,23,,,,,R27,8.9,92,172,69,,,,,,,0,0,0,0,0,0,2019
66.5,40,39,9,54.07,28.5,,,,,,,R94,6.74,76.5,,,,,,,,,0,0,0,0,0,0,2019
66.5,40,39,32,60,36,43,12,,,,,R28,9.48,93,200,73.5,,,,,,,0,0,0,0,0,0,2019
66.5,40,39,32,60,8,51,27,,,,,R29,10.16,118,222,75,200,74.5,224,75,,,0,0,0,0,0,0,2019
66.5,40,39,32,60,-3,,,,,,,R30,8.55,105,174,68,140,60,,,,,0,0,0,0,0,0,2019
66.5,40,39,32,60,3,51,40,,,,,R31,8.66,101,164,68,172,69.5,172,70,,,0,0,0,0,0,0,2019
66.5,40,90,54,12.94,12,,,,,,,R32,10.01,102,106,57,,,,,,,0,0,0,0,0,0,2019
66.5,40,90,54,12.94,3,,,,,,,R33,5.96,53,128,58,118,57,,,,,0,0,0,0,0,0,2019
66.5,40,90,29,9.77,30,,,,,,,R34,4.83,39,118,55,,,,,,,0,0,0,0,0,0,2019
66.5,40,90,34,20,16,,,,,,,R35,7.12,93,122,58,122,58,,,,,0,0,0,0,0,0,2019
66.5,40,90,34,40,13,,,,,,,R36,16.15,60,152,61,92,54,,,,,0,0,0,0,0,0,2019
66.5,40,90,34,40,10,13.44,29,,,,,R37,4.01,27,176,69.5,,,,,,,0,0,0,0,0,0,2019
66.5,40,90,34,40,10,13.44,13,,,,,R38,5.48,29,,,,,,,,,0,0,0,0,0,0,2019
66.5,40,90,34,40,56,12.72,1,,,,,R39,7.2,54,,,,,,,,,0,0,0,0,0,0,2019
66.5,40,90,34,40,3,,,,,,,R40,17.77,180,254,78,226,76,182,70,,,0,0,0,0,0,0,2019
66.5,40,90,40,76,43,8.62,15,,,,,R41,11.42,125,152,68,138,61,,,,,0,0,0,0,0,0,2019
66.5,40,90,110,14.86,3,,,,,,,R42,7.99,70.5,172,68,,,,,,,0,0,0,0,0,0,2019
66.5,40,90,110,14.86,14.5,,,,,,,R43,6.73,40,,,,,,,,,0,0,0,0,0,0,2019
66.5,40,90,22,22.87,41,,,,,,,R44,13.35,92,178,76,248,78,,,,,0,0,0,0,0,0,2019
66.5,40,90,-17,18.98,6,,,,,,,R45,12.7,138,,,,,,,,,0,0,0,0,0,0,2019
66.5,40,31.5,56,35.82,59,,,,,,,R46,4.81,26,144,63.5,,,,,,,0,0,0,0,0,0,2019
66.5,40,31.5,56,35.82,3,,,,,,,R47,8.6,94,114,56,,,,,,,0,0,0,0,0,0,2019
66.5,40,31.5,56,35.82,2,19.12,8,,,,,R48,4.83,31.5,,,,,,,,,0,0,0,0,0,0,2019
66.5,40,31.5,56,35.82,2,19.12,6.5,,,,,R49,8.05,64,,,,,,,,,0,0,0,0,0,0,2019
66.5,40,31.5,56,35.82,2,19.12,16,,,,,R50,8.74,53,86,57,104,62,,,,,0,0,0,0,0,0,2019
