,DTronc,LTronc,DChar,LChar,DChar1,LChar1,DChar2,LChar2,DChar3,LChar3,DChar4,LChar4,NumRam,DRam,LRam,PFr1,DFr1,PFr2,DFr2,PFr3,DFr3,PFr4,DFr4,PFr6,DFr6,DChar5,LChar5,PFr5,DFr5
50,66.5,40,31.5,56.0,35.82,2.0,19.12,16.0,,,,,R50,8.74,53.0,86.0,57.0,104.0,62.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
51,66.5,40,31.5,56.0,35.82,0.0,19.47,24.0,,,,,R51,7.48,76.0,188.0,70.0,158.0,75.5,,,,,0.0,0.0,0.0,0.0,0.0,0.0
52,66.5,40,31.5,56.0,35.82,0.0,19.47,2.0,,,,,R52,7.46,39.0,182.0,72.0,174.0,70.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
53,66.5,40,31.5,56.0,48.52,44.0,,,,,,,R53,5.96,60.0,144.0,49.0,96.0,55.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
54,66.5,40,31.5,56.0,48.52,12.5,,,,,,,R54,7.97,80.0,190.0,70.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
55,66.5,40,31.5,56.0,48.52,20.0,8.98,8.0,,,,,R55,6.38,88.0,128.0,60.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
56,66.5,40,31.5,56.0,48.52,29.5,,,,,,,R56,6.0,29.0,126.0,59.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
57,66.5,40,31.5,56.0,48.52,23.0,,,,,,,R57,7.36,26.0,138.0,66.0,148.0,64.5,,,,,0.0,0.0,0.0,0.0,0.0,0.0
58,66.5,40,31.5,56.0,48.52,4.0,,,,,,,R58,9.29,63.0,190.0,68.0,134.0,59.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
59,66.5,40,31.5,56.0,48.52,46.5,13.3,2.5,,,,,R59,8.02,83.0,132.0,60.0,164.0,68.0,146.0,60.0,140.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0
60,66.5,40,31.5,34.0,13.69,6.5,,,,,,,R60,4.62,27.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
61,66.5,40,31.5,34.0,13.69,3.0,,,,,,,R61,7.86,23.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
