DTronc,LTronc,DChar,LChar,DChar1,LChar1,DChar2,LChar2,DChar3,LChar3,DChar4,LChar4,DChar5,LChar5,NumRam,DRam,LRam,PFr1,PFr2,PFr3,PFr4,PFr5,PFr6,year,variety,Total_Poids
71.5,44,32,112,,,,,,,,,,,R124,7.15,25,,,,,,,2021,2,0
77,45,25.5,186.5,20.29,3,13.62,1,,,,,,,R11,6.57,68,131.98,131.98,123,,,,2021,2,386.96
75,35,36,202.2,65.7,26,65.3,90.9,38.8,13,14.4,1,,,R 146,7.6,60,90,130,130,,,,2022,2,350
77,35,38,89,72.3,81,69.23,47,60,35,40.21,30,9.5,3.5,R71,7.6,58,131.98,131.98,,,,,2021,2,263.96
71,41,38,134,63.5,55,24.69,3.5,14.8,5,11.5,6.3,,,R45,6.54,52,103,109,,,,,2021,1,212
62,32,36,44,44,18,,,,,,,,,R40,4.39,,,,,,,,2021,2,0
66.5,40,39,17,62.2,10,36.6,3,13.92,9,,,0,0,R14,9.5,94,156,120,,,0,0,2019,2,276
68,30,40.5,54,32.5,20,,,,,,,,,R32,5.42,24,114,,,,,,2021,2,114
60,50,113.5,38,38,2,36,1.5,17.5,7.5,,,,,R33,8,33,176,180,177,,,,2019,1,533
71,55,37,228,96.22,3,22.86,11,17.66,1.5,,,,,R55,6.77,52.6,135,79,125,,,,2021,1,339
68,37,35,183,49.66,38,49.84,20,21.3,3.5,,,,,R20,6.47,73,203,,,,,,2021,2,203
75.5,44,38.5,91,68.6,111,67.1,59,43.6,15,40.8,34.5,31.5,19.5,R19,8.77,73.5,176,,,,,,2021,1,176
71.4,33,39,146,26.23,10,13.3,9,9.9,1,,,,,R95,4.7,18.5,,,,,,,2021,1,0
69.5,49,35.4,32,39.46,6.5,24.81,31,15.9,2.8,,,,,R5,6,29,139,115,85,,,,2021,1,339
77,37,41,183.1,101.8,112.7,49.7,5.6,12,7,,,,,R 86,5.5,66,160,210,210,,,,2022,2,580
64.5,54.5,38,33,32,25.5,,,,6.5,,,,,R61,3.5,27,159,173,203,,,,2019,1,535
77,46,26.2,120,24.9,3.5,,,,,,,,,R 12,3.8,22.6,160,,,,,,2022,2,160
64.5,54.5,38,11,54.5,6,,,,3.5,,,,,R17,6,51,144,171,136,,,,2019,1,451
71.3,40,36.8,301.8,,0,,,,,,,,,R 34,6.2,46.7,120,160,,,,,2022,2,280
62,32,36,133,20.34,2.5,,,,,,,,,R71,3.44,,151,,,,,,2021,2,151
72,43,33.7,132.7,52.5,73.4,,,,,,,,,R 52,10,75,150,,,,,,2022,2,150
75.5,41,39.4,130,52,23.5,49.6,75.5,36.3,46,18.5,53.2,,,R45,6.6,28,156,147,,,,,2021,1,303
77,46.5,38,59,87.6,131,51.18,13.5,,,,,,,R29,7.13,56,131.98,131.98,131.98,,,,2021,2,395.94
81,21,36,236,83.5,71,,,,,,,,,R124,7.6,66,80,60,80,90,,,2022,2,310
75,34,34.5,190.5,106.3,116.5,43.1,13,,,,,,,R 28,6.6,45,180,100,160,,,,2022,2,440
66,20,44,87,70,59,45,61,12.1,6.2,,,,,R 12,4.7,30,140,,,,,,2022,2,140
64.5,54.5,38,36,72,2,34,38,,,,,,,R38,11,92,170,193,203,116,,,2019,1,682
71.3,32.5,41.6,145,,79.5,52.1,2.5,26.7,35.6,,1,18.5,3,R 97,7.6,66,130,,,,,,2022,2,130
69.5,63,37.6,252,67.76,24,48.27,12,50.25,13,,,,,R93,9.02,57,152,,,,,,2021,1,152
64.5,54.5,38,36,72,2,,,,,,14.5,,,R41,15,45,183,181,197,,,,2019,1,561
65.5,43,37.5,57,43.5,43,13,7,,,,,,,R69,8,61,160,163,172,181,,,2019,1,676
71,41,38,134,78.5,27,59.8,67,50.9,47.7,,,,,R61,5.57,34.2,99,191,,,,,2021,1,290
68,30,40.5,54,32.5,8,,,,,,,,,R31,5.25,22,149,,,,,,2021,2,149
77,27,37,202,14.98,17,6.8,14,,,,,,,R143,5.2,17,131,,,,,,2021,2,131
72,43,33.7,132.7,52.5,75.4,9,21,,,,,,,R 53,4.8,49,,,,,,,2022,2,0
59,55,34,46,,11.5,21,6.5,13,2,,,,,R22,7,36,152,142,,,,,2019,1,294
71,53,31,129,39.7,30,24.4,8,,,,,,,R81,8.6,74,161,123,126,127,116,,2021,1,653
71,33,38,131.5,44.7,15,9.5,8.4,,,,,,,R136,3.63,22,122.8,122.8,,,,,2021,2,245.6
71,33,38,196,16,10,10.1,28,,,,,,,R144,6,15,95,131,,,,,2021,2,226
71.4,33,39,106,31.8,30,11.7,3.5,,,,,,,R89,6.5,32.7,59,58,,,,,2021,1,117
77,45,25.5,80,,,,,,,,,,,R7,4.59,31,74,,,,,,2021,2,74
58.8,26,34,65,67.03,162.4,26.11,3,,,,,,,R37,5.76,26.8,190,,,,,,2021,2,190
64.5,54.5,38,30.5,105.5,27,,,72,22,33,24,,,R119,13,89,162,197,181,,,,2019,1,540
75,31.5,35,224,47.9,34.8,,,,,,,,,R 131,12.6,64,160,130,120,,,,2022,2,410
70,71,40.5,233,84.6,48,40.5,15,38.7,5,18.19,6,13.8,6,R55,5.7,35,162,,,,,,2021,1,162
73,51,35.5,117.5,72.8,185,56.04,16,33.23,3,18.72,8,,,R113,4.33,11,135,171,,,,,2021,1,306
81,19,40,68,114,205,,,,,,,,,R43,6.4,58,,,,,,,2022,2,0
76,53,44,212,86.1,64,71.7,8,52.2,40,43.1,5,27.7,14,R62,8.6,31,122,131,,,,,2022,1,253
64.5,54.5,38,30.5,105.5,27,,,,,,21,,,R121,10.5,47,181,200,172,186,,,2019,1,739
75,38,37,36,51.9,4,29.7,55.5,,,,,,,R41,6.2,32,129,,,,,,2022,1,129
73,45,39,135,81.9,35,71.6,51,36.13,40,33.44,12,8.7,5,R138,4.9,18,,,,,,,2021,1,0
73,59,38,156,126.4,27,75.1,46,10.9,11,,,,,R98,5.2,50,150,,,,,,2022,1,150
69,34,34,39,,,,,,,,,0,0,R17,9,110,142,156,132,,,,2019,2,430
73,50,39,117,93.8,166.4,69.7,53.8,15.9,2,,,,,R21,10.3,99,182,169,,,,,2022,1,351
75,34,35.3,204.5,69.8,6,24.7,0.5,13.6,13,,,,,R 59,6.8,51,150,150,,,,,2022,2,300
70,71,40.5,127,41.7,4,19.5,18,13.8,8,,,,,R37,5.6,35,134,145,140,,,,2021,1,419
75,48,43,206,228.7,35.3,86.3,54,40.6,37.2,,,,,R66,7,46,114,103,,,,,2022,1,217
66.5,40,31.5,56,48.52,12.5,,,,,,,0,0,R54,7.97,80,190,,,,0,0,2019,2,190
59,55,34,50,,18,32,3,,,,,,,R47,7,24,164,,,,,,2019,1,164
81,19,40,199.5,39,18,,,,,,,,,R58,6.4,29,110,140,,,,,2022,2,250
71,54,31,143,34.18,6.8,26.88,14,26.76,14.5,21.96,27.4,,,R6,7.49,50,102,135,119,98,,,2021,1,454
69,34,37,36,40,19,,,,,,,0,0,R42,6,3,74,82,,,,,2019,2,156
65.5,43,37.5,90,67,10.5,,5,17.5,3,9.5,8.5,,,R46,5,36,156,172,,,,,2019,1,328
73,52,42,192,80.33,54,55.88,22,52.62,117.5,19.62,3.5,,,R68,5.08,24.4,188,150,116,,,,2021,1,454
75,58,37,128,95.4,82,63.5,24,,,,,,,R58,10.02,81,131,158,234,206,174,,2021,1,903
66.5,40,31.5,56,48.52,44,,,,,,,0,0,R53,5.96,60,144,96,,,0,0,2019,2,240
71.4,33,39,210,74.2,45,57.7,108,40.23,17,,,,,R117,7.27,47,149,160,153,175,,,2021,1,637
73,27,34,198,59.8,0,52,78,,,,,,,R 108,7.3,61,130,,,,,,2022,2,130
66.5,40,31.5,30,52.92,-16,,,,,,,0,0,R73,8.04,87,200,156,,,0,0,2019,2,356
71,47,40.5,223,80.97,26,57.43,10,33.41,22.1,16.21,10.5,,,R109,9.04,49.5,250,166,171,223,,,2021,1,810
70,56,28.3,218,112.9,47,42.1,15.5,28.7,9.3,,,,,R8,6.5,48,147,101,133,,,,2022,1,381
71.5,31,40.3,63,83.5,95.5,74.92,36,13.31,3,,,,,R69,4.24,20.5,,,,,,,2021,2,0
81,25,30,224.5,80,59,,,,,,,,,R88,5.8,42,140,120,130,,,,2022,2,390
