DTronc,LTronc,DChar,LChar,DChar1,LChar1,DChar2,LChar2,DChar3,LChar3,DChar4,LChar4,DChar5,LChar5,NumRam,DRam,LRam,PFr1,PFr2,PFr3,PFr4,PFr5,PFr6,year,variety,Total_Poids
77,8,34.5,89,16.8,38,13.6,10,,,,,,,R6,5.77,68,87,82,,,,,2021,2,169
68,34,30.5,154,33.33,53.5,28.5,1,23.19,5,15.6,52,,,R101,5.41,20,,,,,,,2021,2,0
71,33,34.2,121,27.9,97,,,,,,,,,R20,6.2,41,111,,,,,,2021,2,111
66.5,40,29.5,13.5,10.5,9.5,,,,,,,0,0,R85,6,61,146,,,,0,0,2019,2,146
77,45,25.5,199.5,,,,,,,,,,,R14,7.1,40,121,147,131.98,,,,2021,2,399.98
69.5,55,34,103,35.4,8.4,23.8,69,12.6,3,,,,,R103,5.7,23.7,,,,,,,2021,1,0
75,50,36,117,86.42,147,17.83,6.9,13.63,3,,,,,R10,5.08,35,126,185,124,,,,2021,1,435
71,33,34.2,61,26.9,2.5,19,62,,,,,,,R5,5.71,76,121,84,73,,,,2021,2,278
73,72,91.2,41,87,65.2,85.8,107,41.9,30.3,12.7,14,,,R22,8.8,69,143,157,,,,,2022,1,300
66.5,40,29.5,12,,,,,,,,,0,0,R86,7.35,32.5,164,126,,,0,0,2019,2,290
77,40,37,274.5,54.8,45,47.38,10,37.9,4,19.36,5,15.65,8,R120,8.9,55,131.98,,,,,,2021,2,131.98
62,30,31,186,39.34,23,50.8,11,16.9,4.5,,,,,R128,5.97,,128.51,128.51,,,,,2021,2,257.02
59,55,34,19,10,4.5,,,,,,,,,R109,6.5,2,177,,,,,,2019,1,177
68,30,40.5,54,77.17,144,36.93,49.5,24.5,21,17.08,38,,,R50,4.45,42.5,127.49,,,,,,2021,2,127.49
77,35,38,270.5,69.5,14,21.46,44.5,21.7,3,,,,,R92,8.7,70,131.98,,,,,,2021,2,131.98
75,51,40,142,104,22,73,69,51.35,13,30.8,27,,,R95,13.14,99,,,,,,,2021,1,0
55.5,51,31.5,29,12.28,13.5,,,,,,,0,0,R36,5.84,46.5,126,112,134,116,,,2019,2,488
75,42,35.5,90.5,56.6,6.5,25.5,34.5,,,,,,,R2,4.7,35,,,,,,,2022,1,0
77,37,38,152.2,38.7,2.5,,,,,,,,,R 119,7.5,88,130,170,130,,,,2022,2,430
59,55,34,50,,,,,,7,25,10.5,,,R35,9,38,242,227,,,,,2019,1,469
77,35,38,270.5,69.5,14,21.46,44.5,35.24,14,27.8,5,25.6,2,R94,9.6,56,,,,,,,2021,2,0
66,20,44,87,70,130,38.1,43,34,32,29.5,3,11.5,8.7,R 19,6.8,70,160,90,120,150,,,2022,2,520
81,14,37,263,54.8,6,34.5,45,34,6,20,13,,,R30,7,76,170,70,80,,,,2022,2,320
77,40,37,45,24.09,134,47.3,32,45.3,34,30.45,4,14.55,69,R102,5,37,164,,,,,,2021,2,164
75,35,36,164.8,48.4,3.2,7.5,7.6,,,,,,,R 138,7.2,78,140,130,,,,,2022,2,270
68,30,40.5,54,77.17,144,36.93,15,25.9,31.5,21.5,51,,,R48,7.6,68,127.49,,,,,,2021,2,127.49
64.5,54.5,38,12.5,24,7.5,14,5.5,,,,,,,R8,4.5,15,129,133,,,,,2019,1,262
73,58,106,36.2,77,16,40.2,14.5,28.6,35.3,,,,,R63,7.5,83,117,183,82,135,72,,2022,1,589
75,42,35.5,91,51.6,16,15,25,10.5,5.5,,,,,R8,5.6,41.5,96,99,,,,,2022,1,195
71,33,34.2,229,26.6,0.5,,,,,,,,,R34,8.3,50,122.8,133,,,,,2021,2,255.8
75,34,35.3,201.5,103.5,0,57.3,29.5,44.4,29.5,,,,,R 53,9.5,83.8,230,150,160,70,,,2022,2,610
55.5,51,29.3,28,46.46,70,16.42,40,11.43,32,,,0,0,R62,6.1,4,122,,,,,,2019,2,122
71.5,44,32,184.5,30,71,,,,,,,,,R129,7.18,37,116.76,,,,,,2021,2,116.76
71,55,32.2,188,86.21,13.5,54.6,30,44.8,72,16.39,7,8.73,3,R77,5.61,25,97,114,,,,,2021,1,211
64.5,54.5,38,3.5,23,16,10,9,,,,,,,R141,6,33.5,193,160,201,,,,2019,1,554
62,30,31,316,38.3,47,15.9,42,,,,,,,R150,5.4,,128.51,128.51,,,,,2021,2,257.02
71,62,35,105,66.62,53,71.87,13,12.42,12,,,,,R26,10.05,62,156,,,,,,2021,1,156
71,33,38,122,62,131,37.7,21.2,20.16,21,4,,,,R134,5.88,36.5,122.8,122.8,,,,,2021,2,245.6
67,33.5,34,61.5,57,42,29.4,134,16.6,9,,,,,R35,9.7,67.5,133.37,133.37,,,,,2021,2,266.74
72,43,33.7,218.3,65.3,37,69.7,38.5,35.8,35.5,,,,,R 69,13.8,65,230,200,,,,,2022,2,430
75,35,36,125,18,1,4.5,,,,,,,,R 134,4.5,32,50,110,140,,,,2022,2,300
67,32,33,197,65.3,63.5,34.9,94,18.82,22,,,,,R126,7.5,56,128,65,76,133.37,,,2021,2,402.37
77,46.5,38,133,14.6,2,,,,,,,,,R39,6.8,72,131.98,,,,,,2021,2,131.98
71.4,45,34,88,46.95,7,18.66,37,,,,,,,R3,8.03,54,119,128,,,,,2021,1,247
60,50,113.5,38,38,3,26,4,23,20.5,,,,,R24,7,28,176,149,,,,,2019,1,325
59.5,31,36,15.5,38,3.5,,,,,0,0,0,0,R102,8,15.5,132,,,,,,2019,2,132
65.5,43,37.5,90,67,10.5,,10,25,8,19,4,,,R42,8.5,52,143,153,160,,,,2019,1,456
64,51,117.5,26,66,18,,,,7,,,,,R144,8.5,55,184,157,190,,,,2019,1,531
77,8,34.5,234,30.7,49,24.8,7,20.6,1.5,,,,,R44,12.37,88,187,123.51,123.51,,,,2021,2,434.02
71.5,45,32,55,22.22,32.5,,,,,,,,,R2,4.9,21.5,118,,,,,,2021,2,118
59,55,34,60,,,,,,15,,,,,R115,8.5,52,217,223,179,,,,2019,1,619
67,32,32,163,21,0,,,,,,,,,R69,5.3,35,42,133.37,,,,,2021,2,175.37
73,45,39,225,83.03,15,75.3,22.5,34.22,18,32.8,30,,,R147,9.3,52,317,,,,,,2021,1,317
71.3,35,36,221.4,,11.6,,,,,,,,,R 118,5.7,21,170,,,,,,2022,2,170
77,6,36.5,80,40.5,136.5,24.11,53,,,,,,,R75,9.5,56,,,,,,,2021,2,0
64.5,54.5,38,3.5,47.5,13,,,,,,,,,R148,5,15,133,116,,,,,2019,1,249
71,52,36,223,97.53,64,31.88,17.2,24.8,0.5,,,,,R91,12.18,63.9,154,166,158,,,,2021,1,478
64.5,54.5,38,50,26.5,5,,,,4.5,5.5,7,,,R4,4.5,34.5,116,118,135,,,,2019,1,369
62,30.4,30,272.4,17.9,23,,,,,,,,,R107,4.23,,,,,,,,2021,2,0
75,23,36.2,278.1,47.5,4,31.2,5,,,,,,,R 39,11.5,86,170,140,190,,,,2022,2,500
69.5,55,34,173,89.8,15,61,59,33.27,12,22.6,31.5,13.6,3,R116,9.88,72,173,148,145,161,186,,2021,1,813
75.5,44,38.5,176,76.5,13,63.5,15.5,32.6,65.3,26.9,3,,,R27,6.61,32,124,151,189,144,123,,2021,1,731
73,41,34,152.9,52.59,65,35.88,49,21.26,17.3,,,,,R11,6,35,163,100,127,59,,,2021,1,449
70,71,40.5,97,74.2,74,79.8,65,22.42,34,9.18,9,,,R30,7.8,58,171,171,224,174,166,186,2021,1,1092
75,43,42,138.3,100.7,0,72.9,41,53.6,78.2,,,,,R63,5.8,51.5,119,108,,,,,2022,1,227
66.5,40,31.5,56,35.82,0,19.47,2,,,,,0,0,R52,7.46,39,182,174,,,0,0,2019,2,356
71,33,44.6,27,35.5,186.5,62.5,99,5,11,26,33,,,R72,6.8,49,135,122.8,122.8,,,,2021,2,380.6
77,35,38,183,57.6,110.5,46,6,22.26,7.5,,,,,R81,7.2,47,200,,,,,,2021,2,200
73,58,243,36.2,84.2,36,49.1,53.1,13.5,6,,,,,R72,6.4,86,111,123,107,93,100,,2022,1,534
75,34,35.3,201.5,103.5,0,57.3,29.5,44.4,20,,,,,R 51,3.6,57.5,190,170,,,,,2022,2,360
64.5,54.5,38,9,30.5,5,21,8,7,5.5,,,,,R83,7,43.5,147,168,147,,,,2019,1,462
77,27,37,50,16.84,25,10.38,32.5,,,,,,,R113,5.7,73.5,123.51,20,,,,,2021,2,143.51
69.5,49,35.4,178.5,67.15,7,56.26,4,40.15,62,28.17,12,,,R28,4.8,34,111,129,,,,,2021,1,240
69,34,28.5,35,14.5,4.5,,,,,,,0,0,R58,7.5,81,186,104,,,,,2019,2,290
77,27,37,155,56.8,60,51.7,9,22.03,4,,,,,R133,7.77,54,192,123.51,,,,,2021,2,315.51
81,14,37,117,81,107,75,1,44.8,4,,,,,R14,4.2,22,120,,,,,,2022,2,120
64,51,85,46,37.5,32,,,,15,12,13,,,R64,5,29,134,,,,,,2019,1,134
73,27,34,256,42,3,20,61,,,,,,,R 113,5.5,23,13.5,120,,,,,2022,2,133.5
69,34,37,36,40,48,38,14,28,6,20,4.5,0,0,R47,12,76,182,152,182,146,200,,2019,2,862
71.4,45,36,131,73.8,118,29.5,8,,,,,,,R74,11.5,97,130,155,190,230,,,2021,1,705
77,46.5,38,95,18.47,2,12.85,8,,,,,,,R38,5.46,37,,,,,,,2021,2,0
72,43,33.7,125.7,4,78.5,31.8,3,,,,,,,R 45,13.9,105.5,140,150,130,110,180,,2022,2,710
75,34,40,227,50,45,42.1,15,34.5,9.7,9.6,9.5,,,R 122,6.4,44,140,150,,,,,2022,2,290
71.5,45,32,64.5,,,,,,,,,,,R7,6.17,76,128,111,,,,,2021,2,239
71,52,37,202,62.73,73,37.9,26.5,18.27,12,,,,,R124,5.9,59,165,179,189,169,72,,2021,1,774
75.5,38.5,38,178,75.77,56,61.33,5,48.18,26.5,41.55,13,24.18,13,R68,5.27,34,116,121,127,,,,2021,1,364
72,33,44,74,98.5,105,100,30,40.5,3.7,,,,,R 83,6,45,130,,,,,,2022,2,130
68,30,40.5,54,77.17,164,,,,,,,,,R54,11.91,107,,,,,,,2021,2,0
66.5,40,39,17,62.2,14,,,,,,,0,0,R10,7.42,65,68,46,42,54,0,0,2019,2,210
72,43,33.7,136.2,,,,,,,,,,,R 54,7,49.5,140,80,,,,,2022,2,220
71.3,35,36,159.4,,59,14.1,6,17,6.5,7,5,,,R 114,4.7,37,80,,,,,,2022,2,80
77,46,26.2,207.6,67.6,68,36.4,27,14.6,10.3,14.8,1,,,R 23,10.2,87.5,170,170,200,250,,,2022,2,790
75,35,36,346.2,62.8,22,,,,,,,,,R 166,8,58,90,90,120,,,,2022,2,300
64.5,54.5,38,30.5,105.5,27,,23,27,16,,,,,R106,11,14,,,,,,,2019,1,0
73,52,42,192,80.33,54,81.95,23,18.16,28,,,,,R79,5.29,23,183,154,,,,,2021,1,337
75,35,36,248.2,58.7,6,22.1,9,18.2,3,,,,,R 155,5.6,54,120,,,,,,2022,2,120
72,33,44,256,66,4,12.3,6,,,,,,,R 113,4.7,35,100,,,,,,2022,2,100
71.5,31,40.3,63,83.5,63,14.76,2,10.49,6.5,,,,,R63,4.46,24,105,,,,,,2021,2,105
81,14,37,117,81,5,27,58,,,,,,,R7,6.7,53,160,,,,,,2022,2,160
77,37,38,121.2,,,,,,,,,,,R 118,8.1,101,120,80,120,,,,2022,2,320
64.5,54.5,38,57,75,23,,,,,,,,,R90,10.5,116,160,184,130,,,,2019,1,474
75,25,32.7,212.8,77.5,0,24.4,11,15.8,18,,,,,R 89,5,36,120,,,,,,2022,2,120
75,34,40,82,24,49,,,,,,,,,R 104,6.1,29,130,,,,,,2022,2,130
64.5,34,32.5,66,55.5,0,35,36,17,77,,,,,R22,9,50,174,150,,,,,2019,2,324
71,33,44.6,27,35.5,271.5,,,,,,,,,R83,5.4,16.5,177,,,,,,2021,2,177
75,30,40,133,101,54.7,20,2,,,,,,,R 67,6,51,180,150,,,,,2022,2,330
71,55,32.2,188,86.21,13.5,54.6,17,,,,,,,R72,7.35,25,124,148,,,,,2021,1,272
60,50,108,41,82,12.5,67,31,25,17,,5,,,R87,13.5,71,217,221,180,165,,,2019,1,783
68,30,40.5,54,77.17,144,36.93,49.5,24.5,21,17.08,45,,,R52,5.53,51.5,,,,,,,2021,2,0
75,30,40,209,48,2,23,4,11,17,,,,,R 92,4.7,31,170,,,,,,2022,2,170
70,58,31,201,66,72,44,8,42,6.5,23.1,12,14.9,5,R53,13.6,86,33,147,98,137,156,,2022,1,571
60,50,113,34,69,8,39,20,21,8,,,,,R63,9.5,35,173,182,196,,,,2019,1,551
77,42,38,241.2,60,34.3,48.3,11,19.3,8,,,,,R 66,5.6,45,180,110,110,140,,,2022,2,540
66.5,40,31.5,56,35.82,2,19.12,6.5,,,,,0,0,R49,8.05,64,,,,,0,0,2019,2,0
59.5,31,34,62,25,15,,,,,0,0,0,0,R42,8.5,66,178,166,,,,,2019,2,344
68,30,40.5,110,25.3,86,,,,,,,,,R68,7.9,69.5,92,102,123,,,,2021,2,317
77,35,38,162,42,2.5,7.34,11,,,,,,,R78,5.7,56.5,155,143,,,,,2021,2,298
77,46.5,38,244,54.27,43,50.18,11,11,2,,,,,R57,5.4,50,166,,,,,,2021,2,166
71.5,31,40.3,63,83.5,74.5,,,,,,,,,R66,7.18,84.9,113,148,113,,,,2021,2,374
77,46.5,38,59,87.6,180,69.49,28,51.5,40,,,,,R37,11.8,37,131.98,131.98,123,,,,2021,2,386.96
66.5,40,31.5,56,48.52,29.5,,,,,,,0,0,R56,6,29,126,,,,0,0,2019,2,126
71.4,45,34,205,73.06,15,40.95,28.8,11.2,2.4,9.25,10,,,R16,6.78,35,146,,,,,,2021,1,146
58.8,26,34,65,67.03,162.4,26.11,35,8.88,5.03,,,,,R39,6.69,40,152,137.23,,,,,2021,2,289.23
77,46,26.2,186.2,69.5,0,17,43.1,,,,,,,R 14,7.9,22.3,,,,,,,2022,2,0
65.5,43,37.5,53,71,7.5,,50,17,15,,,,,R116,6.5,8,199,,,,,,2019,1,199
75,42,35.5,196.5,90,11,61.5,5.5,29.8,3,20.8,14.5,,,R18,10.5,75,128,129,,,,,2022,1,257
71.4,34,36.1,204,99.93,10,64.35,17,23.3,20,11.34,1,,,R45,5.84,25.4,116,99,,,,,2021,1,215
76,53,38,126,114,67,98,15,14.9,1,,,,,R76,6.8,45,79,164,,,,,2022,1,243
73,52,42,91,48.1,7,32.67,38,19,39.2,14.79,11,,,R40,7.25,45,98,106,103,,,,2021,1,307
59.5,31,34,72,31.5,-46.5,,,,,0,0,0,0,R38,11,78,136,142,,,,,2019,2,278
69,34,28.5,20,,,,,,,,,0,0,R79,6,70,156,68,,,,,2019,2,224
58.8,35,28,304.5,8.71,45.5,,,,,,,,,R89,3.4,27,,,,,,,2021,2,0
75,30,40,68,78,45,32.7,2.5,,,,,,,R 49,5.3,31,100,100,,,,,2022,2,200
75,55,34.3,110.5,24.25,4,,,,,,,,,R115,13.5,136,98,127,109,128,114,134,2021,1,710
75,25,32.7,94,69.6,77,17.9,13.2,,,,,,,R 70,7.1,74,110,90,,,,,2022,2,200
72,43,33.7,132.7,52.5,42.9,,,,,,,,,R 50,10.2,65.2,190,170,,,,,2022,2,360
65.5,43,37.5,124,52,48,10,22,,,,,,,R58,6.5,28,201,,,,,,2019,1,201
77,46.5,38,133,14.6,2,,,,,,,,,R39,6.8,72,131.98,,,,,,2021,2,131.98
68,36,32,93,19,11,13.8,34,,,,,,,R65,5.6,62,110,,,,,,2022,2,110
81,25,30,224.5,80,66.5,56.7,64.5,39.2,8.8,11,2.4,,,R98,4.5,27,90,,,,,,2022,2,90
68,26,34.5,66,90,168.2,30.5,17.5,15,0.5,,,,,R45,7.2,55,150,110,180,,,,2022,2,440
75.5,41,39.4,130,52,23.5,49.6,26.5,10.5,9.5,,,,,R37,6.6,42.2,110,119,,,,,2021,1,229
81,25,30,224.5,80,24,21,2.3,,,,,,,R86,7,40,160,140,,,,,2022,2,300
69,34,28.5,9,30,20,,,,,,,0,0,R85,17,90,186,162,218,184,,,2019,2,750
75,48,43,206,228.7,41.3,43.2,19,27.7,13.5,,,,,R68,7.6,50,211,171,,,,,2022,1,382
59,55,34,9,,,,5.5,,,,,,,R31,9,37.5,152,177,,,,,2019,1,329
66.5,40,39,32,60,3,51,40,,,,,0,0,R31,8.66,101,164,172,172,,0,0,2019,2,508
64.5,34,32.5,66,55.5,0,,,,,,,,,R24,4.5,38,112,90,,,,,2019,2,202
71.5,44,32,233,83.5,45,19.49,23,,,,,,,R142,6.38,40,116.76,,,,,,2021,2,116.76
77,6,36.5,80,40.5,115,,,,,,,,,R73,11.04,91,121,123.51,,,,,2021,2,244.51
64.5,34,32.5,39,16.5,5.5,,,,,,,,,R68,12,91.5,162,162,,,,,2019,2,324
77,35,38,89,72.3,81,69.23,47,60,46,35.8,4.5,,,R73,4.9,26,0,,,,,,2021,2,0
71,48,37,218,67.8,12,30.27,32.9,18.35,3.5,,,,,R32,5.46,37,149,75,180,192,,,2021,1,596
71,33,44.6,26,31,150,72,38.5,23.26,2,,,,,R102,7.5,88,132,102,125,126,107,,2021,2,592
73,27,34,377,33,42.5,7.1,2,,,,,,,R 130,6.5,25,170,,,,,,2022,2,170
75,58,37,128,95.4,15,41.45,4.9,9.45,1,,,,,R55,7.83,103,172,133,115,114,78,,2021,1,612
77,45,25.5,209,43.6,47,33,13,,,,,,,R19,4.63,19,,,,,,,2021,2,0
71,55,37,70,50,20,27,6,15.26,17,,,,,R25,6.8,71,133,103,69,45,,,2021,1,350
68,40,33.5,100.2,63.9,119.8,38.8,5.4,26.2,10.5,,,,,R10,9.4,38.5,170,190,,,,,2022,2,360
65.5,43,37.5,42,90,14,,13,,,,,,,R73,13,82.5,277,161,201,199,187,,2019,1,1025
75,34,41,217,122.1,40.5,64.6,41,53.8,29.8,23.8,1,,,R119,9.5,72,119,147,133,115,100,,2022,1,614
75,34,35.3,141.5,31.4,11.5,12.5,23.5,,,,,,,R 48,7.6,73.5,130,70,60,,,,2022,2,260
75.5,38.5,38,174,51.7,17,44,82,19.35,21,12.7,3,10.4,27,R66,7.4,50,137,169,124,,,,2021,1,430
71,41,38,134,78.5,27,59.8,85.5,50.72,14.5,41.71,18,30.5,31.5,R68,9.8,72,140,135,117,192,157,,2021,1,741
58.8,35,28,322.5,46,17,23.44,75.5,17.08,8,,,,,R95,5.7,30,173,173,137.23,,,,2021,2,483.23
71,47,40.5,175,46.6,44,41,58,27.4,19,20.6,15.5,10.02,10,R84,5.29,36,117,96,,,,,2021,1,213
59.5,31,34,0,,,,,,,0,0,0,0,R45,7,82,170,144,96,150,128,114,2019,2,802
75,55,34.3,188.1,77,48.5,43.12,48,24.5,21,12.45,8,,,R152,8,57,196,216,,,,,2021,1,412
68,30,40.5,54,32.5,39,11.26,7,,,,,,,R34,7.22,92,97,96,,,,,2021,2,193
64.5,34,32.5,0,20,5.5,,,,,,,,,R61,5.5,37,184,188,,,,,2019,2,372
75,51,40,142,65.7,10,42.9,4,,,,,,,R87,6.5,53,111,146,120,,,,2021,1,377
73,52,42,126,62.85,62,52.54,16,47.61,8,10.06,1.5,,,R49,5.19,37,128,86,120,,,,2021,1,334
71.5,44,32,233,83.5,45,19.49,78.5,,,,,,,R144,6.96,16,116.76,,,,,,2021,2,116.76
81,19,40,288.5,51.1,6,,,,,,,,,R67,4.6,22,180,,,,,,2022,2,180
81,19,40,68,114,106,41.4,32,,,,,,,R34,7.1,63,130,160,,,,,2022,2,290
62,30,31,84,15.46,30,,,,,,,,,R109,5.7,,128.51,,,,,,2021,2,128.51
71,47,40.5,175,46.6,6,28.99,3,21.5,32,,,,,R77,5.6,46,140,68.71,,,,,2021,1,208.71
77,37,38,47,94.2,218.4,48,3,24,108,,,,,R 113,7.5,56,,,,,,,2022,2,0
73,27,34,328,32.2,0,,,,,,,,,R 121,11.8,78,130,100,120,100,,,2022,2,450
59.5,31,33,3,13,34,,,,,0,0,0,0,R61,8,83,168,218,120,,,,2019,2,506
69.5,49,35.4,32,39.46,6.5,24.81,5,18.09,29,,,,,R4,6.34,30,119,100,123,,,,2021,1,342
81,21,36,160,38.8,69,,,,,,,,,R117,5.2,24,140,120,,,,,2022,2,260
75,42,35.5,196.5,90,11,61.5,5.5,29.8,17.5,17.5,14.9,,,R23,4.5,29.5,124,,,,,,2022,1,124
77,40,37,260.5,34.5,3,,,,,,,,,R115,5.8,25,188,142,,,,,2021,2,330
68,33,35,136,31.5,66,15,19,,,,,,,R92,5.6,35,50,50,130,,,,2022,2,230
77,35,38,89,72.3,4,29.5,57.5,,,,,,,R61,4.48,18,122,,,,,,2021,2,122
77,37,38,47,94.2,218.4,48,3,24,101.5,,,,,R 112,5.8,31.8,220,,,,,,2022,2,220
64,51,117,77,67,14,,,,13.5,,,,,R24,8,42,159,160,,,,,2019,1,319
68,26,34.5,182.5,41,9.5,22,6,14,1.5,,,,,R51,8.7,90,100,120,150,140,,,2022,2,510
75,58,37,128,95.4,82,63.5,66,50.83,14,16.12,31,,,R62,9,56,242,237,,,,,2021,1,479
59.5,31,30,-12,,,,,,,0,0,0,0,R14,6.5,48.5,80,,,,,,2019,2,80
71.5,45,32,140.3,,,,,,,,,,,R20,8.14,66,146,97,,,,,2021,2,243
60,50,108,6.5,61,7,44.5,76,35.5,11,30,29,22,12,R80,8.5,42,188,155,186,,,,2019,1,529
71.4,33,39,210,104.8,8,49.5,35,13.6,3.8,,,,,R97,9.7,77,131,107,130,140,135,156,2021,1,799
67,32,33,197,65.3,63.5,34.9,99,13.8,2,,,,,R128,4.6,16.5,133.37,133.37,,,,,2021,2,266.74
77,45,25.5,67,40.32,34.5,,,,,,,,,R2,11.67,127,123,100,94,100,108,,2021,2,525
68,40,33.5,100.2,63.9,70.8,27.5,11,,,,,,,R6,6,47.5,,,,,,,2022,2,0
66,22.5,34,227,44.3,28.5,34.2,0,16.1,2.5,10.1,4,,,R 90,7.4,60.6,140,110,110,,,,2022,2,360
68,37,35,283,62.04,8,37.27,32,17.48,11,,,,,R28,15.44,71,,,,,,,2021,2,0
75,34,34.5,51,73.5,11.5,,,,,,,,,R 2,8.9,33,110,,,,,,2022,2,110
60,50,113,8.5,18,8,53,2.5,21,8,,,,,R61,11,80,153,126,145,,,,2019,1,424
60,50,108,10,71,4.5,17.5,17,12.5,5.5,,,,,R103,10.5,67,256,,,,,,2019,1,256
73,52,42,133,63.34,63,26.2,12,18.9,10,20.5,8.2,,,R57,8.19,25,131,126,114,,,,2021,1,371
58.8,36,29,131,21.28,43.7,,,,,,,,,R105,7.95,70,125,97,137.23,137.23,,,2021,2,496.46
64,51,85,46,37.5,32,,,,,,6,,,R66,5.5,39,174,180,,,,,2019,1,354
69.5,49,35.4,127,34.6,8,25.26,8,22.3,1.1,16.8,61.4,,,R11,7.7,31,90,93,88,,,,2021,1,271
77,46,26.2,66.5,47.1,141.9,20.8,31.3,,,,,,,R 9,6.5,60.4,190,180,,,,,2022,2,370
75,34,40,108,25,5,16.7,23,,,,,,,R 108,6.2,40,160,110,,,,,2022,2,270
77,24,33.5,246,,,,,,,,,,,R178,14.18,86,,,,,,,2021,2,0
71.4,45,34,205,73.06,14,53.66,5.2,25.96,15.6,15.76,3.2,,,R13,10.61,86,159,159,155,133,130,135,2021,1,871
71,33,44.6,26,31,140,,,,,,,,,R96,6,74,172,142,143,,,,2021,2,457
75,31.5,35,190.5,77.7,53,36.1,8.3,24.2,10,10.1,1.5,,,R 114,5.4,41,80,110,,,,,2022,2,190
77,46.5,38,244,54.27,26,27.2,12,19.24,1,,,,,R52,7.7,42.5,,,,,,,2021,2,0
68,36,32,285.7,61.8,0,36.6,12.7,20.9,0,11.4,0.5,,,R82,5.5,68,120,120,,,,,2022,2,240
62,25.5,35.5,181,32.41,33,,,,,,,,,R31,9.4,,153,,,,,,2021,2,153
67,32,33,259,33.96,7,17.17,10.8,9.05,5.5,,,,,R135,5.4,22.9,158,133.37,,,,,2021,2,291.37
67,33.5,34,61.5,57,42,29.4,12,,,,,,,R28,6,67,136,105,110,103,,,2021,2,454
64.5,34,32.5,42,57.5,27,,,,,,,,,R38,8,59,174,242,,,,,2019,2,416
75,34,35.3,67,71.6,40,42,52.5,17.8,23.9,,,,,R 39,5.7,27.8,110,160,,,,,2022,2,270
65.5,43,37.5,90,67,10.5,,2,,,,,,,R50,7.5,64,201,170,120,123,,,2019,1,614
71.3,40,36.8,89,,26.8,,,,,,,,,R 8,9.5,94,100,130,110,,,,2022,2,340
71.5,45,32,136.8,46.61,33.5,,,,,,,,,R18,8.72,37.5,140,127,,,,,2021,2,267
70,71,40.5,233,84.6,24,,,,,,,,,R54,4.05,22.5,155,,,,,,2021,1,155
67,32,33,197,65.3,57.5,,,,,,,,,R122,9.7,89,68,,,,,,2021,2,68
75,50,36,190,81.6,99,57.7,54,,,,,,,R34,5.91,38,,,,,,,2021,1,0
71,41,38,134,63.5,55,24.69,1.5,,,,,,,R44,5.22,65,150,98,53,,,,2021,1,301
71.5,44,32,233,83.5,45,19.49,10,,,,,,,R141,6.32,18,116.76,,,,,,2021,2,116.76
59.5,31,30,13,,,,,,,0,0,0,0,R8,9,88.5,112,164,112,,,,2019,2,388
66,25,30,201.5,57.9,73.5,56.2,0,27.8,5.5,,,,,R 66,7.5,51,110,,,,,,2022,2,110
69.5,63,37.6,235,97.14,24.2,23.5,16,,,,,,,R87,6.15,30,190,126,,,,,2021,1,316
69.5,63,37.6,170,18.19,10,14.8,7,,,,,,,R83,10.5,102,145,149,162,126,140,182,2021,1,904
76,43,45,135,58.4,63,33.5,34,23.2,8,19,28,,,R100,6.9,45,,,,,,,2022,1,0
77,40,37,260.5,34.5,3,,,,,,,,,R115,5.8,25,188,142,,,,,2021,2,330
68,36,32,201.7,11.4,2,,,,,,,,,R71,8,77,190,100,,,,,2022,2,290
68,36,32,225.7,80.5,86.3,29.4,19.5,20.2,4,,,,,R75,10.5,90,80,,,,,,2022,2,80
77,46.5,38,244,54.27,43,50.18,15,47.3,2,17.82,1,,,R59,8.26,59,133,168,,,,,2021,2,301
71,33,38,254,73,116,,,,,,,,,R153,11.8,99.1,122.8,122.8,122.8,122.8,,,2021,2,491.2
72,33,44,74,98.5,105,100,94,41.7,0,16,3,,,R 86,9,91,160,180,150,130,,,2022,2,620
77,46.5,38,244,54.27,43,27.2,32,21.5,5.5,,,,,R54,7.8,52,,,,,,,2021,2,0
81,19,40,301.5,47,15,33.5,42,,,,,,,R76,7,38,190,180,150,,,,2022,2,520
67,32,32,273.8,36.5,5,,,,,,,,,R86,7.03,71.9,133.37,133.37,,,,,2021,2,266.74
55.5,51,29.3,28,46.46,44,,,,,,,0,0,R90,12,107,154,208,168,188,,,2019,2,718
68,40,33.5,232.1,74.1,96,32.1,12.5,,,,,,,R29,6.2,40,200,,,,,,2022,2,200
71.5,31,40.3,63,83.5,187,,,,,,,,,R81,6.5,35,116.76,,,,,,2021,2,116.76
64.5,34,32.5,0,20,52,21,4,,,,,,,R66,7,34,,,,,,,2019,2,0
71,55,37,70,50,104,23.75,40,,,,,,,R34,8.7,82.5,139,130,120,78,,,2021,1,467
75,34,35.3,237.5,70.2,3,17.6,11.5,,,,,,,R 62,10,60,170,160,160,120,,,2022,2,610
71,55,37,200,72.35,48,76.7,22,60.55,53,25.8,3,,,R48,4.7,18,148,184,,,,,2021,1,332
73,41,34,137.4,40.24,11.04,17.58,1.5,11.05,0,,,,,R3,5.79,56,108,113,78,78,77,,2021,1,454
71,55,37,228,96.22,54,45.5,2.5,30.18,1,20.09,9,,,R57,4.24,21,194,175,,,,,2021,1,369
75,38,37,36,51.9,4,29.7,63.5,,,,,,,R42,9.5,104.5,76,62,142,107,,,2022,1,387
