Tronc,,charpant,,1er ss charpante,,2ème ss charpante,,3ème ss charpante,,4ème ss charpante,,5ème ss charpante,,6ème ss charpante,,Rameaux,,,Remarque,Rameaux,Fruit 1,,Fruit 2,,Fruit 3,,Fruit 4,,Fruit 5,,Fruit 6,,Fruit 7,,Fruit 8,
Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,,N° ram,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam
,,,,,,,,6,9,,,,,,,R72,5,32,,R72,162,64,170,62.5,,,,,,,,,,,,
,,,,,,,,,-5,,,,,,,R73,9,58,,R73,183,65.5,180,66.5,,,,,,,,,,,,
,,,,48.5,5,,,,,,,,,,,R74,15.5,80,,R74,235,70,207,69,173,77.5,,,,,,,,,,
,,,,,25,11.5,16,,,,,,,,,R75,7,70,,R75,229,78,138,61,142,63.5,,,,,,,,,,
,,,,,,,6,,,,,,,,,R76,5,34,,R76,136,61,198,68,,,,,,,,,,,,
,,,,,,,12,,,,,,,,,R77,6,33,,R77,152,65.5,119,60,,,,,,,,,,,,
,,,,,6,30,27,,,,,,,,,R78,8,35,,R78,172,67,147,63,,,,,,,,,,,,
,,,,,,,6,,,,,,,,,R79,12,74,,R79,181,69,179,69.5,214,72.5,,,,,,,,,,
,,,,,,,12,,,,,,,,,R80,17.5,93,,R80,152,65.5,148,63.5,197,70,,,,,,,,,,
,,,,,,,4,,,,,,,,,R81,15,67,,R81,200,71,164,70,,,,,,,,,,,,
,,,,,,,3.5,,,,,,,,,R82,16.5,83,,R82,220,73.5,141,63,195,73.5,204,78.5,,,,,,,,
,,,,,5,13,16,,,,,,,,,R83,9.5,56,,R83,143,64,165,65.5,155,65,,,,,,,,,,
,,,,,,,6,,,,,,,,,R84,7.5,55,,R84,139,63.5,164,65,121,60,,,,,,,,,,
,,,,,,,,25,42,,,,,,,R85,15,67,,R85,172,66,200,70.5,203,71,,,,,,,,,,
,,,,,,,,,10,9,7,,,,,R86,8.5,46,,R86,203,68.5,201,69.5,,,,,,,,,,,,
,,,,,,,,,12,17.5,5,,,,,R87,8,32,,R87,185,65.5,193,69,,,,,,,,,,,,
,,,,,,,,,,,3,,,,,R88,7.5,31,,R88,206,71.5,189,67,,,,,,,,,,,,
,,,,,,,,,,,17,,,,,R89,12,49,,R89,175,71,180,68,,,,,,,,,,,,
,,,,,,,,,,,15,,,,,R90,11.5,47,,R90,211,91,141,61.5,,,,,,,,,,,,
,,,,,,,,,,,1.5,,,,,R91,6,3,,R91,122,61.5,,,,,,,,,,,,,,
,,,,,,,,,,,4,,,,,R92,5.5,47,,R92,198,72,220,75,,,,,,,,,,,,
,,,,,,,,44,22,21.5,6.5,,,,,R93,15,72,,R93,215,69,184,68,122,59,,,,,,,,,,
,,,,,,,,,,,5,,,,,R94,11.5,63,,R94,173,67,180,68.5,178,68,,,,,,,,,,
,,,,,,,,,7,45,5.5,11.5,11,,,R95,5.5,21,,R95,212,73,,,,,,,,,,,,,,
,,,,,,,,,,,25,14.5,3.5,,,R96,8,42,,R96,165,67,153,62,,,,,,,,,,,,
,,,,,,,,,,,,,0,,,R97,10,60,,R97,192,70.5,182,68,165,65,,,,,,,,,,
,,,,,,,,,,,,21,20,,,R98,14.5,45,,R98,224,75,191,69,183,67.5,,,,,,,,,,
,,,,,,,,,,,,7.5,14,,,R99,7.5,34,,R99,162,65,174,71,,,,,,,,,,,,
,,,,,,,,,,,,,12,,,R100,6,38,,R100,135,62,197,70,,,,,,,,,,,,
,,,,,,,,,,,,,17,,,R101,8,31,,R101,166,67,166,66.5,171,65.5,,,,,,,,,,
,,,,,,,,,,,,,-7.5,,,R102,9,47,,R102,173,66,196,71.5,148,63,,,,,,,,,,
,,,,,,,,,,,,,3.5,,,R103,9,31,,R103,174,67,187,69.5,,,,,,,,,,,,
,,,,,,,,,,,,,9,,,R104,5,64,,R104,171,67.5,134,63.5,176,68.5,,,,,,,,,,
,,,,,,,,,,,,,5.5,,,R105,10,35,,R105,231,73,233,74,159,69,,,,,,,,,,
,,,,,,,,,,,,,3,,,R106,14.5,69,,R106,137,62,193,69,153,65,,,,,,,,,,
,,117.5,84,30,9,14,6,,,,,,,,,R107,6.5,52,,R107,146,61,169,65,172,65.5,,,,,,,,,,
,,,,,,,9.5,,,,,,,,,R108,7,50,,R108,134,63,132,62.5,176,67.5,,,,,,,,,,
,,,,,,,8,,,,,,,,,R109,7.5,45,,R109,172,68,143,65,162,69.5,,,,,,,,,,
,,,,32,5,,,,,,,,,,,R110,9,54,,R110,156,66.5,185,71,,,,,,,,,,,,
,,,,,7,12,4.5,,,,,,,,,R111,6,31,,R111,136,61.5,101,57.5,,,,,,,,,,,,
,,,,,,,8.5,,,,,,,,,R112,17,44,,R112,164,69,153,66.5,,,,,,,,,,,,
,,,,,,,15,6,8,,,,,,,R113,6,22,,R113,196,67,,,,,,,,,,,,,,
,,,,,,,,,4,,,,,,,R114,5,24,,R114,132,63,110,62,,,,,,,,,,,,
,,,,,,,18,7,7,,,,,,,R115,6.5,17,,R115,102,59,,,,,,,,,,,,,,
,,,40,80,10,18.5,15,14,2.5,9,10,,,,,R116,5,34,,R116,101,56,107,59,,,,,,,,,,,,
,,,,,,,,,,,11,,,,,R117,5,22,,R117,167,67.5,130,63,,,,,,,,,,,,
,,,42,42,11,,,,,,,,,,,R118,7.5,33,,R118,161,65,152,66,,,,,,,,,,,,
,,,,,28,11.5,10.5,,,,,,,,,R119,5,18,,R119,118,60,,,,,,,,,,,,,,
,,,,,43,11.5,7,,,,,,,,,R120,5.5,56,,R120,116,59.5,119,60,,,,,,,,,,,,
,,,,,15,8,13.5,,,,,,,,,R121,6.5,24,,R121,105,58,,,,,,,,,,,,,,
,,,,,5,7.5,12.5,,,,,,,,,R122,6,43,,R122,120,60.5,125,62.5,,,,,,,,,,,,
,,,,,15,37,7,,,,,,,,,R123,7,18,,R123,118,60,136,63,,,,,,,,,,,,
,,,,,,,8,,,,,,,,,R124,12,75,,R124,111,58,140,63,146,63.5,162,68.5,,,,,,,,
,,,,,,,3.5,,,,,,,,,R125,10,25,,R125,135,63.5,106,57.5,,,,,,,,,,,,
,,,,,,,12,,,,,,,,,R126,18,134,,R126,137,63,136,62.5,178,67.5,154,65.5,170,67.5,182,,,,,
,,,,,,12,5,,,,,,,,,R127,5.5,30,,R127,138,62.5,187,71,,,,,,,,,,,,
,,,13,53,32,23,8,21,10,,,,,,,R128,7,71,,R128,172,67,180,65,176,69.5,,,,,,,,,,
,,,,,,,,,16,14,6,,,,,R129,5,3.5,,R129,111,60,,,,,,,,,,,,,,
,,,,,,,,,,,4,,,,,R130,8,37,,R130,159,66.5,165,67.5,,,,,,,,,,,,
,,,,,,,,,,,6,,,,,R131,7,32,,R131,170,67,157,66.5,,,,,,,,,,,,
,,,,,,,,,,,3.5,,,,,R132,12,73,,R132,186,71,143,65.5,169,68,,,,,,,,,,
,,,,,25,,,,,,,,,,,R133,8,30,,R133,181,71,119,61.5,,,,,,,,,,,,
,,,,,15,,,,,,,,,,,R134,11,59,,R134,223,74.5,155,66.5,171,69,156,67,125,60.5,,,,,,
,,,,,15,,,,,,,,,,,R135,12,35,,R135,160,65.5,152,66,167,67,,,,,,,,,,
,,,,,26,16,3,,,,,,,,,R136,13.5,75,,R136,173,68,125,61,162,69,159,66.5,,,,,,,,
,,,,,17.5,34.5,7.5,12.5,6.5,,,,,,,R137,10,43,,R137,180,69,192,71,199,73.5,,,,,,,,,,
,,,,,,,,,4,,,,,,,R138,6.5,20.5,,R138,127,61.5,162,64.5,,,,,,,,,,,,
,,,,,,,,,7,,,,,,,R139,10,70,,R139,175,67,169,67,205,72,154,64,,,,,,,,
,,,,,,,-26,,,,,,,,,R140,20,90,,R140,159,66,189,67.5,196,71.5,204,70,213,71,,,,,,
,,,26,66,18,47,5.5,16,12,,,,,,,R141,7,41,,R141,161,64.5,139,60.5,180,73,,,,,,,,,,
,,,,,,,,,4.5,,,,,,,R142,7,55,,R142,143,62.5,152,69.5,,,,,,,,,,,,
,,,,,,,,,17,,,,,,,R143,9,33,,R143,156,64.5,150,63.5,,,,,,,,,,,,
,,,,,,,,,7,,,,,,,R144,8.5,55,,R144,184,63,157,64.5,190,70.5,,,,,,,,,,
,,,,,,,2.5,16,5,,,,,,,R145,11,77,,R145,196,70.5,201,71,211,72.5,,,,,,,,,,
,,,,,,,,,4.5,,,,,,,R146,6,2.5,,R146,220,71,,,,,,,,,,,,,,
,,,,,,,20,,,,,,,,,R147,9,58,,R147,181,69,171,67,180,67.5,,,,,,,,,,
,,,,,,,12,,,,,,,,,R148,9.5,62,,R148,157,64.5,141,62.5,150,69.5,,,,,,,,,,
,,,,,,,8,16,7,,,,,,,R149,11,54,,R149,182,69.5,214,73.5,203,72.5,,,,,,,,,,
,,,,,,,,,20.5,,,,,,,R150,5,32,,R150,186,68,153,67.5,201,68.5,,,,,,,,,,
,,,,,,,,,19,,,,,,,R151,1,1,,R151,111,59,,,,,,,,,,,,,,
,,,,,,,,,8.5,10,2.5,,,,,R152,6,31,,R152,152,64.5,153,69.5,,,,,,,,,,,,
,,,,,,,,,-30,,,,,,,R153,7,40,,R153,202,72,172,68,201,69,,,,,,,,,,
