Tronc,Unnamed: 1,charpant,Unnamed: 3,1er ss charpante,Unnamed: 5,2ème ss charpante,Unnamed: 7,3ème ss charpante,Unnamed: 9,4ème ss charpante,Unnamed: 11,5ème ss charpante,Unnamed: 13,Rameaux,Unnamed: 15,Unnamed: 16,Fruit 1,Unnamed: 18,Fruit 2,Unnamed: 20,Fruit 3,Unnamed: 22,Fruit 4,Unnamed: 24,Fruit 5,Unnamed: 26,Fruit 6,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Numero SS_ch,Niveau,Num_SC_mere,Point_insert,DIAM,long,long + Point_insert
64.5,34,32.5,0,20,9,,,,,,,,,R63,9,34.5,216,63,140,63.5,,,,,,,,,63,1,15,279.5,20,9,288.5
64.5,34,32.5,0,20,60,,,,,,,,,R64,6,46,188,70,178,69,,,,,,,,,64,1,15,288.5,20,60,348.5
64.5,34,32.5,0,20,52,21,2,,,,,,,R65,12,45,132,60,184,70,,,,,,,,,65,2,64,400.5,21,2,402.5
64.5,34,32.5,0,20,52,21,4,,,,,,,R66,7,34,,,,,,,,,,,,,66,2,64,402.5,21,4,406.5
64.5,34,32.5,0,20,52,21,0,,,,,,,R67,8,56,164,65,164,68,202,72,148,63,,,,,67,2,64,406.5,21,0,406.5
64.5,34,32.5,39,16.5,5.5,,,,,,,,,R68,12,91.5,162,68,162,66.5,,,,,,,,,68,1,15,248,16.5,5.5,253.5
64.5,34,32.5,47,2.65,50,22,10,,,,,,,R69,10.5,78,204,72,178,67.5,232,77,,,,,,,69,2,68,345,22,10,355
64.5,34,32.5,47,2.65,50,22,14,,,,,,,R70,7.5,39,188,68,,,,,,,,,,,70,2,68,355,22,14,369
64.5,34,32.5,47,2.65,50,22,-18,,,,,,,R71,7.5,47,170,76,174,66,118,60,,,,,,,71,2,68,369,22,-18,351
64.5,34,32.5,-10,8,6.5,,,,,,,,,R72,6,65.5,184,56,108,52.5,,,,,,,,,72,1,15,238,8,6.5,244.5
