Tronc,,charpant,,1er ss charpante,,2ème ss charpante,,3ème ss charpante,,4ème ss charpante,,5ème ss charpante,,Rameaux,,,Remarque,Rameaux,Fruit 1,,Fruit 2,,Fruit 3,,Fruit 4,,Fruit 5,,Fruit 6,,Fruit 7,,Fruit 8,
Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,,N° ram,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam
,,,,,,,,,6.5,,,,,R44,13,79,,R44,168,69.5,180,73.5,199,72,201,71,,,,,,,,
,,,,,,,,,5.5,,,,,R45,14,78,,R45,149,60.5,237,77,200,75,191,65.5,,,,,,,,
,,,,,7,17,5,,,,,,,R46,8,51,,R46,180,69.5,215,73,202,71.5,,,,,,,,,,
,,,,,18,32,3,,,,,,,R47,7,24,,R47,164,62,,,,,,,,,,,,,,
,,30,104,15,2,,,,,,,,,R48,8,69.5,,R48,176,70.5,150,68,140,65,,,,,,,,,,
,,,24,20,7,,,,,,,,,R49,5.5,24.5,,R49,159,66.5,,,,,,,,,,,,,,
,,,,,9.5,,,,,,,,,R50,4.5,21,,R50,160,67,154,67,,,,,,,,,,,,
,,,,,14,10,7,,,,,,,R51,6.5,34,,R51,183,69,151,68,147,65,,,,,,,,,,
,,,,,,,3,,,,,,,R52,5,22.5,,R52,177,69,171,68.5,123,58.5,,,,,,,,,,
,,,18,80,9.5,21,30,,,,,,,R53,13,98,,R53,157,63,215,77.5,214,67.5,,,,,,,,,,
,,,,,,,-11,,,,,,,R54,12.5,69.5,,R54,150,69.5,169,67,133,61,146,64,,,,,,,,
,,,,,5,25,6.5,15,23,,,,,R55,4,30,,R55,201,71.5,117,60.5,,,,,,,,,,,,
,,,,,,,,,,11,15,7,5,R56,6,19,,R56,118,63.5,117,60.5,,,,,,,,,,,,
,,,,,13,4.5,17,45,17,11.5,10,,,R57,5.5,34,,R57,169,67,165,65.5,,,,,,,,,,,,
,,,,,,,,,,,4.5,,,R58,7.5,54,,R58,177,67.5,,,,,,,,,,,,,,
,,,,,,,4,,,,,,,R59,11,90,,R59,142,59.5,174,65.5,201,64.5,169,65.5,218,67,,,,,,
,,,,,,,9,26.5,8,,,,,R60,17,104,,R60,178,63.5,220,67,178,70,200,78.5,238,74.5,,,,,,
,,,,,,,,,11,,,,,R61,10,67.5,,R61,153,63,139,65,180,66,,,,,,,,,,
,,,,,,,,,5,12,4,12,4,R62,9,48,,R62,249,62.5,209,72,181,66.5,,,,,,,,,,
,,,,,,,,,7,32,12.5,25,6,R63,18,87,,R63,199,70,156,65.5,196,68.5,164,61,,,,,,,,
,,,,,,,,,,,,,7,R64,18,78.5,,R64,197,67.5,204,72.5,225,73.5,199,69,,,,,,,,
