Tronc,,charpant,,1er ss charpante,,2ème ss charpante,,3ème ss charpante,,4ème ss charpante,,5ème ss charpante,,6ème ss charpante,,7 ème ss charpante ,,Rameaux,,,Remarque,Rameaux,Fruit 1,,Fruit 2,,Fruit 3,,Fruit 4,,Fruit 5,,Fruit 6,,Fruit 7,,Fruit 8,
Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam, v,N° ram,Diam,Long,,N° ram,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam
,,,,23,16,10,9,,,,,,,,,,,R141,6,33.5,,R141,193,65,160,66,201,69.5,,,,,,,,,,
,,,,,,,5,,,,,,,,,,,R142,5,42.5,,R142,160,64,189,69,191,69,199,70,,,,,,,,
,,,,,,,21,21,6,14,5,,,,,,,R143,8,140,,R143,150,64.5,136,61.5,172,66,,,,,,,,,,
,,,,,,,,,16,16.5,6.5,,,,,,,R144,6.5,39,,R144,118,62,125,64,,,,,,,,,,,,
,,,,,,,,,,,2,,,,,,,R145,7,39.5,,R145,157,66,,,,,,,,,,,,,,
,,,,,,,,,,,4.5,,,,,,,R146,13.5,95,,R146,116,68,147,67.5,,,,,,,,,,,,
,,,,47.5,5,,,,,,,,,,,,,R147,9.5,67,,R147,142,64.5,139,63.5,,,,,,,,,,,,
,,,,,13,,,,,,,,,,,,,R148,5,15,,R148,133,62.5,116,62.5,,,,,,,,,,,,
,,,,,8,,,,,,,,,,,,,R149,6.5,59,,R149,173,68,160,59,153,64,,,,,,,,,,
,,,,,11,11,1.5,,,,,,,,,,,R150,6.5,39,,R150,164,64.5,165,68,170,61,167,65,147,68,,,,,,
,,,,,28,19,9,,,,,,,,,,,R151,5.5,20.5,,R151,155,67,146,63.5,,,,,,,,,,,,
,,,,,,,17,,,,,,,,,,,R152,8.5,53,,R152,163,68,175,69,,,,,,,,,,,,
,,,,,,,9.5,,,,,,,,,,,R153,19,45,,R153,157,60,140,62,121,59,,,,,,,,,,
,,,,,,,8.5,,,,,,,,,,,R154,7.5,20.5,,R154,129,65,168,66.5,182,65,,,,,,,,,,
,,,,,,,4,,,,,,,,,,,R155,11,59,,R155,113,58,144,63,,,,,,,,,,,,
,,,,,47,37,6,,,,,,,,,,,R156,23.5,135,,R156,206,74,164,67,156,65,,,,,,,,,,
,,,,,,,28,25.5,10,,,,,,,,,R157,7,26,,R157,109,63,197,76,,,,,,,,,,,,
,,,,,,,,,14,,,,,,,,,R158,17,45,,R158,108,67.5,141,64.5,,,,,,,,,,,,
,,,,,,,,,6.5,,,,,,,,,R159,12,32,,R159,158,63,189,69,205,72.5,,,,,,,,,,
