Tronc,Unnamed: 1,charpant,Unnamed: 3,1er ss charpante,Unnamed: 5,2ème ss charpante,Unnamed: 7,3ème ss charpante,Unnamed: 9,Rameaux,Unnamed: 11,Unnamed: 12,Fruit 1,Unnamed: 14,Fruit 2,Unnamed: 16,Fruit 3,Unnamed: 18,Fruit 4,Unnamed: 20,Fruit 5,Unnamed: 22,Fruit 6,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Numero SS_ch,Niveau,Num_SC_mere,Point_insert,DIAM,long,long + Point_insert
59.5,31,36,58,11,,,,,,R84,,,150,63,222,77,,,,,,,,,84,1,76,321,11,0,321
59.5,31,36,58,11,8,,,,,R85,16.5,139,138,62,190,71,162,68.5,,,,,,,85,1,76,321,11,8,329
59.5,31,36,0,40,16,,,,,R86,4.5,8,140,58,,,,,,,,,,,86,1,76,174,40,16,190
59.5,31,36,0,40,43,,,,,R87,7,1,132,58.5,,,,,,,,,,,87,1,76,190,40,43,233
59.5,31,36,0,40,-3.5,8,4,,,R88,5,29,162,64.5,,,,,,,,,,,88,2,88,229.5,8,4,233.5
59.5,31,36,0,40,26,,,,,R89,10,8.5,,,,,,,,,,,,,89,1,89,229.5,40,26,255.5
59.5,31,36,0,40,26,10,8,,,R90,6.5,52,130,60,,,,,,,,,,,90,2,89,255.5,10,8,263.5
59.5,31,36,0,40,32,,,,,R91,22,48,132,64,,,,,,,,,,,91,1,76,255.5,40,32,287.5
59.5,31,36,0,40,32,22,16,,,R92,8,49,,,,,,,,,,,,,92,2,91,287.5,22,16,303.5
59.5,31,36,0,40,32,22,26,,,R93,8,49,,,,,,,,,,,,,93,2,91,303.5,22,26,329.5
59.5,31,36,0,40,32,22,7,,,R94,10,49,180,69,,,,,,,,,,,94,2,91,329.5,22,7,336.5
59.5,31,36,53,,,,,,,R95,6,31,172,69.5,90,52.5,,,,,,,,,95,0,49,174,36,53,227
59.5,31,36,38,5,2,,,,,R96,5.5,26,128,60,134,61.5,136,63.5,146,65,,,,,96,1,96,265,5,2,267
59.5,31,36,10,,,,,,,R97,9,58,,,,,,,,,,,,,97,0,49,265,36,10,275
59.5,31,36,15.5,,,,,,,R98,15,152,130,60,66,49,,,,,,,,,98,0,49,275,36,15.5,290.5
59.5,31,36,15.5,38,73,,,,,R99,8,20,204,71,,,,,,,,,,,99,1,99,290.5,38,73,363.5
59.5,31,36,15.5,38,20,9,3,,,R100,8,27,132,63.5,,,,,,,,,,,100,2,100,383.5,9,3,386.5
59.5,31,36,15.5,38,16.5,,,,,R101,6,6,134,72,,,,,,,,,,,101,1,101,383.5,38,16.5,400
59.5,31,36,15.5,38,3.5,,,,,R102,8,15.5,132,71.5,,,,,,,,,,,102,1,101,400,38,3.5,403.5
59.5,31,36,15.5,38,,,,,,R103,,,164,67,202,70.5,160,67.5,210,71,170,69,,,103,1,101,403.5,38,0,403.5
