Tronc,Unnamed: 1,charpant,Unnamed: 3,1er ss charpante,Unnamed: 5,2ème ss charpante,Unnamed: 7,3ème ss charpante,Unnamed: 9,4ème ss charpante,Unnamed: 11,Rameaux,Unnamed: 13,Unnamed: 14,Fruit 1,Unnamed: 16,Fruit 2,Unnamed: 18,Fruit 3,Unnamed: 20,Fruit 4,Unnamed: 22,Fruit 5,Unnamed: 24,Fruit 6,Unnamed: 26,Fruit 7,Unnamed: 28,Fruit 8,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Numero SS_ch,Niveau,Num_SC_mere,Point_insert,DIAM,long,long + Point_insert
55.5,51,31.5,22.5,,,,,,,,,R47,8.37,75,132,58,132,61,122,56,120,52,,,,,,,,,47,0,1,150.5,31.5,22.5,173
55.5,51,31.5,7,,,,,,,,,R48,7.8,84,136,62,96,55,98,54,,,,,,,,,,,48,0,1,173,31.5,7,180
55.5,51,31.5,7,28.56,51,,,,,,,R49,10.64,68,164,65.5,,,,,,,,,,,,,,,49,1,21,180,28.56,51,231
55.5,51,31.5,7,28.56,5.5,,,,,,,R50,13.27,28.5,142,62,148,64,,,,,,,,,,,,,50,1,21,231,28.56,5.5,236.5
55.5,51,27.5,71.5,,,,,,,,,R51,5.11,35,122,60,114,58,,,,,,,,,,,,,51,0,1,51,27.5,71.5,122.5
55.5,51,27.5,28,,,,,,,,,R52,18.52,172,118,59,170,68,166,66,172,65.5,204,71,208,71,222,73,138,62,52,0,1,122.5,27.5,28,150.5
55.5,51,27.5,32,,,,,,,,,R53,8.74,99,126,60,142,64,128,61,104,58,,,,,,,,,53,0,1,150.5,27.5,32,182.5
55.5,51,27.5,0,14.75,9,,,,,,,R54,5.92,60.5,,,,,,,,,,,,,,,,,54,1,51,182.5,14.75,9,191.5
55.5,51,27.5,61,17.53,22,,,,,,,R55,9.64,72,242,79,184,69,,,,,,,,,,,,,55,1,51,243.5,17.53,22,265.5
55.5,51,27.5,7,,,,,,,,,R56,10.02,55.5,174,69,160,66,,,,,,,,,,,,,56,0,1,243.5,27.5,7,250.5
55.5,51,27.5,25,16.85,6,11.48,3,,,,,R57,9.48,83.5,208,72,152,66.5,,,,,,,,,,,,,57,2,57,281.5,11.48,3,284.5
55.5,51,27.5,37,,,,,,,,,R58,8.58,79.5,118,58,152,65,188,68,156,65,,,,,,,,,58,0,1,268.5,27.5,37,305.5
55.5,51,27.5,0,,,,,,,,,R59,6.82,72,136,62,162,66.5,110,52,,,,,,,,,,,59,0,1,305.5,27.5,0,305.5
55.5,51,27.5,0,,,,,,,,,R60,8.34,81,240,76,196,69,,,,,,,,,,,,,60,0,1,305.5,27.5,0,305.5
55.5,51,29.3,28,46.46,70,16.42,3,,,,,R61,5.33,4.5,128,63.5,,,,,,,,,,,,,,,61,2,61,149,16.42,3,152
55.5,51,29.3,28,46.46,70,16.42,40,11.43,32,,,R62,6.1,4,122,61,,,,,,,,,,,,,,,62,3,62,192,11.43,32,224
55.5,51,29.3,28,46.46,70,16.42,0,,,,,R63,5.84,43,160,66,,,,,,,,,,,,,,,63,2,61,192,16.42,0,192
55.5,51,29.3,28,46.46,70,16.42,13,,,,,R64,9.5,83,,,,,,,,,,,,,,,,,64,2,61,192,16.42,13,205
55.5,51,29.3,28,46.46,70,16.42,0,12,18,,,R65,10,65.5,156,66,144,61,,,,,,,,,,,,,65,3,65,205,12,18,223
55.5,51,29.3,28,46.46,70,16.42,22.5,40,3,,,R66,5,43,106,60,,,,,,,,,,,,,,,66,3,66,227.5,40,3,230.5
55.5,51,29.3,28,46.46,70,16.42,22.5,40,10,,,R67,5,38,132,55,,,,,,,,,,,,,,,67,3,66,230.5,40,10,240.5
55.5,51,29.3,28,46.46,70,16.42,22.5,40,13,,,R68,12,92,190,71.5,142,64.5,138,64,156,64,88,172,66,58,,,,,68,3,66,240.5,40,13,253.5
55.5,51,29.3,28,46.46,70,16.42,22.5,40,13,14.5,39,R69,6,25.5,124,60.5,78,60,116,62,,,,,,,,,,,69,4,69,253.5,14.5,39,292.5
55.5,51,29.3,28,46.46,70,16.42,22.5,40,13.5,,,R70,7,50.5,140,64,,,,,,,,,,,,,,,70,3,66,253.5,40,13.5,267
55.5,51,29.3,28,46.46,70,16.42,22.5,40,12,,,R71,7,29,140,62,,,,,,,,,,,,,,,71,3,66,267,40,12,279
