Tronc,Unnamed: 1,charpant,Unnamed: 3,1er ss charpante,Unnamed: 5,2ème ss charpante,Unnamed: 7,3ème ss charpante,Unnamed: 9,4ème ss charpante,Unnamed: 11,Rameaux,Unnamed: 13,Unnamed: 14,Fruit 1,Unnamed: 16,Fruit 2,Unnamed: 18,Fruit 3,Unnamed: 20,Fruit 4,Unnamed: 22,Fruit 5,Unnamed: 24,Fruit 6,Unnamed: 26,Fruit 7,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Numero SS_ch,Niveau,Num_SC_mere,Point_insert,DIAM,long,long + Point_insert
69,34,28.5,40,,,,,,,,,R73,7.5,54,174,62,,,,,,,,,,,,,73,0,1,167,28.5,40,207
69,34,28.5,33,20,2.5,,,,,,,R74,5.5,54,158,67,38,41.5,,,,,,,,,,,74,1,57,240,20,2.5,242.5
69,34,28.5,33,20,3,,,,,,,R75,10,132,166,64,92,52,120,51,142,56,116,54,74,46,,,75,1,57,242.5,20,3,245.5
69,34,28.5,17,,,,,,,,,R76,13.5,120,164,63,,,,,,,,,,,,,76,0,1,240,28.5,17,257
69,34,28.5,17,,,,,,,,,R77,5,14,164,63,,,,,,,,,,,,,77,0,1,257,28.5,17,274
69,34,28.5,0,,,,,,,,,R78,8,70,142,69,180,69,152,55,,,,,,,,,78,0,1,274,28.5,0,274
69,34,28.5,20,,,,,,,,,R79,6,70,156,56,68,64.5,,,,,,,,,,,79,0,1,274,28.5,20,294
69,34,28.5,23,,,,,,,,,R80,4,6,116,59,,,,,,,,,,,,,80,0,1,294,28.5,23,317
69,34,28.5,18,,,,,,,,,R81,11.5,73,148,65,180,70,,,,,,,,,,,81,0,1,317,28.5,18,335
69,34,28.5,9,15,3.5,,,,,,,R82,7,96,142,62,210,63,120,67,,,,,,,,,82,1,57,326,15,3.5,329.5
69,34,28.5,9,15,17,,,,,,,R83,7.5,46,136,67,154,64.5,,,,,,,,,,,83,1,57,329.5,15,17,346.5
69,34,28.5,9,30,4,,,,,,,R84,13.5,106,184,59,212,72.5,210,72.5,156,66,150,63.5,192,69,138,62,84,1,57,326,30,4,330
69,34,28.5,9,30,20,,,,,,,R85,17,90,186,70,162,66.5,218,67.5,184,62.5,,,,,,,85,1,57,346,30,20,366
69,34,28.5,9,25,8,,,,,,,R86,15,128,232,69,202,70,,,,,,,,,,,86,1,57,326,25,8,334
69,34,32,85,,,,,,,,,R87,4.5,13,146,64,234,72.5,202,70.5,186,70,232,71,,,,,87,0,1,34,32,85,119
69,34,32,13,15,5.5,,,,,,,R88,11,63,58,36,,,,,,,,,,,,,88,1,87,132,15,5.5,137.5
69,34,32,17,,,,,,,,,R89,15,60,77,39,,,,,,,,,,,,,89,0,1,132,32,17,149
69,34,32,3.5,,,,,,,,,R90,5,4,160,64,,,,,,,,,,,,,90,0,1,149,32,3.5,152.5
69,34,32,25,18,2.5,,,,,,,R91,7,67,146,63,118,69,152,69,126,55,,,,,,,91,1,87,177.5,18,2.5,180
69,34,32,25,18,17,,,,,,,R92,7.5,40,110,58,120,54,,,,,,,,,,,92,1,87,180,18,17,197
69,34,32,25,18,41,,,,,,,R93,5,29,180,67,100,49,,,,,,,,,,,93,1,87,197,18,41,238
69,34,32,14,,,,,,,,,R94,5.5,43.5,160,67,,,,,,,,,,,,,94,0,1,177.5,32,14,191.5
69,34,32,6,,,,,,,,,R95,10,88.5,114,55,102,54,86,48,,,,,,,,,95,0,1,191.5,32,6,197.5
69,34,32,27,47,5,,,,,,,R96,9,96,226,69,136,72,,,,,,,,,,,96,1,87,218.5,47,5,223.5
69,34,32,23,,,,,,,,,R97,9,49,152,73,142,65,136,52,,,,,,,,,97,0,1,218.5,32,23,241.5
69,34,32,35,20,20,,,,,,,R98,8,28,152,68,128,56,,,,,,,,,,,98,1,87,276.5,20,20,296.5
69,34,32,35,20,2.5,,,,,,,R99,7,37,162,72,134,62,,,,,,,,,,,99,1,87,296.5,20,2.5,299
69,34,32,6,30,10.5,,,,,,,R100,10,93,172,62,162,66,140,70,218,70,136,60,134,60,,,100,1,87,282.5,30,10.5,293
69,34,32,6,30,0,,,,,,,R101,20,99,86,42,164,65,174,70,,,,,,,,,101,1,87,293,30,0,293
69,34,32,3,42.5,16,,,,,,,R102,6,54,72,49,,,,,,,,,,,,,102,1,87,279.5,42.5,16,295.5
69,34,32,3,42.5,24,23,6,,,,,R103,13.5,92,132,64,150,67,132,62.5,154,65,,,,,,,103,2,103,319.5,23,6,325.5
69,34,32,3,42.5,0,,,,,,,R104,9,82.5,170,67,,,,,,,,,,,,,104,1,87,319.5,42.5,0,319.5
69,34,32,3,42.5,0,30,9,16,9,,,R105,12,72,124,61,148,62.5,,,,,,,,,,,105,3,105,328.5,16,9,337.5
69,34,32,3,42.5,0,30,-5,,,,,R106,18,118,190,70.5,,,,,,,,,,,,,106,2,103,328.5,30,-5,323.5
