Tronc,,charpant,,1er ss charpante,,2ème ss charpante,,3ème ss charpante,,4ème ss charpante,,5ème ss charpante,,                  6ème ss charpante,,Rameaux,,,Rameaux,Fruit 1,,Fruit 2,,Fruit 3,,Fruit 4,,Fruit 5,,Fruit 6,,Fruit 7,,Fruit 8,
Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,N° ram,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam
,,,,,,,3.5,21,4,,,,,,,R68,8.5,43,R68,200,64,168,64.5,181,71,209,70.5,,,,,,,,
,,,,,,,,,2,,,,,,,R69,11.5,60,R69,173,65,171,64,146,63,,,,,,,,,,
,,87.5,94,46,9,27,6.5,9,6,,,,,,,R70,5,67,R70,186,66.5,196,68,190,69,,,,,,,,,,
,,,,,2.5,15,5,,,,,,,,,R71,7,82.5,R71,163,65,173,56,178,67,201,71.6,,,,,,,,
,,,9,13,4,,,,,,,,,,,R72,8,109,R72,159,65,153,64,179,70,,,,,,,,,,
,,108,87,63,6,20.5,10,6,11,,,,,,,R73,5,34,R73,120,59,166,67.5,175,67,,,,,,,,,,
,,,,,,,,,2,,,,,,,R74,11.5,60,R74,131,62,103,59,113,58,,,,,,,,,,
,,,,,2.5,18,34,,,,,,,,,R75,7.5,51,R75,126,62,164,66.5,146,65,,,,,,,,,,
,,,60,39,7.5,14,12,9.5,7,,,,,,,R76,7,67.5,R76,164,65,162,64,147,64,166,67.5,128,65,165,67,,,,
,,,6.5,61,10,16.5,8,,,,,,,,,R77,6.5,53,R77,125,57,168,65,147,54,165,,,,,,,,,
,,,,,,,4,,,,,,,,,R78,9,60,R78,165,68,189,69,197,66.5,191,69,,,,,,,,
,,,,,,,5,,,,,,,,,R79,7,62,R79,175,67,170,63.5,193,68,,,,,,,,,,
,,,,,7,44.5,76,35.5,11,30,29,22,12,,,R80,8.5,42,R80,188,72,155,68,186,73,,,,,,,,,,
,,,,,,,,,,,,,4.5,,,R81,15,60,R81,132,59.5,145,61.5,176,62.5,,,,,,,,,,
,,,,,,,,,,,5,27,23,,,R82,10,57,R82,152,66,198,72,165,67,,,,,,,,,,
,,,,,,,,,,,,,4,,,R83,9,82,R83,151,67,181,67,177,69,,,,,,,,,,
,,,,,,,,,,,,,4,13,11,R84,8.5,77,R84,188,77,226,66,111,156,208,74,129,65,,,,,,
,,,41,82,12.5,67,31,25,60,13,6.5,11.5,4,,,R85,5.5,63,R85,104,56,136,69.9,169,68.5,,,,,,,,,,
,,,,,,,,,17,23.5,16,,,,,R86,11,54,R86,155,64,161,64,152,63.5,,,,,,,,,,
,,,,,,,,,,,5,,,,,R87,13.5,71,R87,217,68,221,66,180,70,165,66.5,,,,,,,,
,,,,,,,,,,,10,,,,,R88,5.5,55,R88,,,,,,,,,,,,,,,,
,,,,,,,,,,,4,,,,,R89,10,71,R89,187,69,218,73,197,70,,,,,,,,,,
,,,,,,,,,,,11.5,,,,,R90,11.5,8.5,R90,195,67,202,68.5,223,69,192,68,,,,,,,,
,,,,,,,,,6,7.5,32,,,,,R91,7,20,R91,168,64,143,60,240,77,,,,,,,,,,
,,,,,,,,,,,6,,,,,R92,7.5,83,R92,110,57,154,62.6,166,66,184,64.5,,,,,,,,
,,,,,,,,,,,5.5,,,,,R93,6.5,58.5,R93,201,67,199,66,,,,,,,,,,,,
,,,,,,,,,,,9.5,,,,,R94,10,29,R94,244,71,217,70,165,64.5,,,,,,,,,,
,,,,,,,,,,,5.5,,,,,R95,19,43,R95,125,60.5,197,68,,,,,,,,,,,,
,,,,,,,,,12.5,27.5,4.5,,,,,R96,6.5,56,R96,215,70.5,172,61.5,181,65,,,,,,,,,,
,,,,,,,,,,,21.5,,,,,R97,15,88,R97,158,65,169,68,178,64,,,,,,,,,,
,,,,,,,,,,,4.5,,,,,R98,6.5,77,R98,214,69,184,63,235,66.5,,,,,,,,,,
,,,,,,,,,,,26,,,,,R99,10,76,R99,158,64,230,72,232,73.5,204,69.5,,,,,,,,
,,,,,,,,,,,6,,,,,R100,18,74,R100,229,74,242,73,,,,,,,,,,,,
,,,10,71,45,18,27,,,,,,,,,R101,6,25,R101,137,60,173,62,137,64,,,,,,,,,,
,,,,,,,3,,,,,,,,,R102,7,49.5,R102,143,67.5,207,70,176,62.5,169,68.5,,,,,,,,
,,,,,4.5,17.5,17,12.5,5.5,,,,,,,R103,10.5,67,R103,256,74,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,R104,6.5,107,R104,178,65,178,66,240,70.5,177,69,156,64,,,,,,
,,,,,6.5,17.5,13.5,,,,,,,,,R105,10,98,R105,161,66.5,192,67.5,207,70.5,173,63.5,164,65.5,,,,,,
,,,,,0,,,,,,,,,,,R106,13.5,110,R106,285,78,209,67,186,67,201,70,207,69.5,,,,,,
,,,,,4,49,8,30,56,,,,,,,R107,17.5,65,R107,142,57.9,219,71.5,169,64,,,,,,,,,,
